node,page_rank,overall_rank,comm,rank_comm
460,0.4057538673663198,1,1,1
234,0.4007310453294093,2,1,2
161,0.3977640700410535,3,1,3
563,0.39318067839000437,4,2,1
605,0.3849681836591871,5,2,2
312,0.38403137895370465,6,1,4
366,0.3830410067689029,7,1,5
1496,0.3818246358113727,8,5,1
310,0.38101800462058366,9,1,6
1323,0.38044392295021967,10,5,2
1115,0.37941492360940765,11,4,1
1373,0.37878882637572875,12,5,3
1272,0.3785616666597613,13,5,4
20,0.3783347792359317,14,1,7
1089,0.3735769073266175,15,4,2
691,0.3715976919235626,16,2,3
1469,0.37028982499202345,17,5,5
54,0.3699100961940533,18,1,8
3,0.3689372175073945,19,1,9
1760,0.3663145679124631,20,7,1
1305,0.36610211927223546,21,5,6
358,0.36573092650935807,22,1,10
594,0.36509634421928977,23,2,4
1437,0.3620599823086619,24,5,7
1083,0.36164513271564136,25,4,3
1443,0.3586147303821343,26,5,8
1871,0.35790309236294937,27,7,2
1439,0.35689135217252405,28,5,9
521,0.3558351629961398,29,2,5
690,0.3546357186264899,30,2,6
1463,0.35398938968464994,31,5,10
123,0.3534938144505961,32,1,11
2154,0.35299962485958447,33,10,1
453,0.35206446132468044,34,1,12
278,0.35191725667186174,35,1,13
1334,0.35113423955230255,36,5,11
219,0.350014737540977,37,1,14
1069,0.34953022101614173,38,4,4
2191,0.3490953016204352,39,10,2
1918,0.3489505689083206,40,8,1
723,0.34890235133627306,41,2,7
169,0.3478928515597421,42,1,15
430,0.3471276212016233,43,1,16
1035,0.34703220404351404,44,4,5
1931,0.3457491875421892,45,8,2
2023,0.3453236209820306,46,8,3
497,0.3451348163778852,47,2,8
1043,0.34442863410457075,48,4,6
581,0.3439126010107066,49,2,9
242,0.34293172845587505,50,1,17
2609,0.3427920603612012,51,15,1
317,0.34251306519541613,52,1,18
1091,0.34251306519541613,53,4,7
314,0.34251306519541613,54,1,19
1464,0.34232732058305426,55,5,12
782,0.3420490810919274,56,3,1
289,0.3417250394668572,57,1,20
302,0.34158635235668394,58,1,21
610,0.34126318646041465,59,2,10
227,0.3412170698135957,60,1,22
386,0.3411709656290512,61,1,23
27,0.3410787946265849,62,1,24
868,0.3410787946265849,63,3,2
252,0.3408485848569935,64,1,25
2149,0.3406646406665688,65,10,3
819,0.3406186856361268,66,3,3
99,0.3406186856361268,67,1,26
1178,0.3404808949056915,68,4,8
701,0.3397021817059879,69,2,11
494,0.33961080250445297,70,2,12
2167,0.3394281915070047,71,10,4
368,0.33938256943825373,72,1,27
1191,0.33910909436215525,73,4,9
148,0.3388815349108318,74,1,28
2018,0.3388360596646012,75,8,4
717,0.3386542806626352,76,2,13
1965,0.33829130715710176,77,8,5
1353,0.33829130715710176,78,5,13
754,0.3378838908899516,79,2,14
811,0.3375225660500746,80,3,4
253,0.33720704014698294,81,1,29
367,0.33639839017061124,82,1,30
1293,0.336353578875797,83,5,14
533,0.3362192165939558,84,2,15
2635,0.3362192165939558,85,16,1
2223,0.3361744530183209,86,10,5
551,0.3359955178470536,87,2,16
554,0.3357721165718894,88,2,17
2199,0.3355044268695998,89,10,6
286,0.33541529179338575,90,1,31
307,0.3353707420136284,91,1,32
1588,0.33510369165502424,92,6,1
769,0.33505922460464543,93,3,5
744,0.335014769353935,94,2,18
1972,0.3348370662538931,95,8,6
235,0.3347926699311334,96,1,33
660,0.334482225012665,97,2,19
1264,0.3341723552965336,98,4,10
75,0.33408392651767765,99,1,34
2583,0.33395137106475437,100,15,2
1078,0.3337306789083542,101,4,11
68,0.3336865754751695,102,1,35
1072,0.33355433508858756,103,4,12
215,0.3334662330455108,104,1,36
32,0.33333416721064135,105,1,37
1574,0.33329016850852794,106,6,2
1411,0.33329016850852794,107,5,15
559,0.3332461814201674,108,2,20
540,0.3330703491123345,109,2,21
165,0.33293859660081854,110,1,38
649,0.33236887147829514,111,2,22
992,0.3322813944756689,112,3,6
886,0.332019239529337,113,3,7
272,0.3318446992535955,114,1,39
348,0.33158323264879946,115,1,40
1903,0.330368483137591,116,8,7
909,0.3302820558038729,117,3,8
2447,0.33023885909241535,118,13,1
1012,0.33015249955813386,119,3,9
1472,0.33010933672644893,120,5,16
256,0.32993679819947835,121,1,41
448,0.32993679819947835,122,1,42
820,0.32985059655396576,123,3,10
922,0.32937729149760087,124,3,11
1454,0.3292484439458349,125,5,17
2004,0.3289481913262908,126,8,8
1337,0.3289481913262908,127,5,18
1402,0.3288625054207616,128,5,19
92,0.32881967920570493,129,1,43
481,0.32881967920570493,130,2,23
108,0.328734060229216,131,1,44
1907,0.3286912674590742,132,8,9
131,0.3286912674590742,133,1,45
1023,0.32856295596884943,134,3,12
668,0.32839202973346443,135,2,24
435,0.32834932595846655,136,1,46
1350,0.32826395171874784,137,5,20
1500,0.328221281245367,138,5,21
823,0.32805071022744026,139,3,13
680,0.3278377456012215,140,2,25
1170,0.32779518585234424,141,4,13
1060,0.32779518585234424,142,4,14
1044,0.32775263715220765,143,4,15
1899,0.32771009949650975,144,8,10
1480,0.3276250573012337,145,5,22
440,0.32715811306304843,146,1,47
411,0.3271157295790398,147,1,48
1053,0.3270733570752083,148,4,16
1142,0.3270733570752083,149,4,17
73,0.32690397677636046,150,1,49
188,0.32690397677636046,151,1,50
747,0.326777056635254,152,2,26
1028,0.3266502350091343,153,3,14
693,0.3264812925550308,154,2,27
267,0.3264812925550308,155,1,51
1080,0.3264812925550308,156,4,18
265,0.3263125247635833,157,1,52
948,0.32622820628173227,158,3,15
1910,0.3255972039484988,159,8,11
650,0.3255552239067313,160,2,28
2043,0.32547129629035937,161,9,1
206,0.32534548597095836,162,1,53
1977,0.3252616664460399,163,8,12
451,0.32513601810721193,164,1,54
956,0.32513601810721193,165,3,16
930,0.32509415689720716,166,3,17
687,0.32505230646506283,167,2,29
635,0.32496863791771013,168,2,30
1359,0.32484321582665737,169,5,23
653,0.3248014299743514,170,2,31
1231,0.3246761368934818,171,4,19
738,0.32459266186149993,172,2,32
308,0.3244675297636351,173,1,55
1915,0.3243008369664279,174,8,13
199,0.3240927116699535,175,1,56
1207,0.324051118662809,176,4,20
790,0.32396796466777106,177,3,18
952,0.32384331366174274,178,3,19
2445,0.3236772614563015,179,13,2
1412,0.32338707948522133,180,5,24
1501,0.3233456673864269,181,5,25
1061,0.3232628749994377,182,4,21
2003,0.32322149470309885,183,8,14
941,0.3230974173538846,184,3,20
1108,0.3230147520302684,185,4,22
792,0.32280827366665915,186,3,21
1008,0.322643280937977,187,3,22
2145,0.322643280937977,188,10,7
1016,0.3225608478053919,189,3,23
1932,0.32251964703290437,190,8,15
972,0.32251964703290437,191,3,24
98,0.32247845678424114,192,1,57
1400,0.3223549491408921,193,5,26
1299,0.3223549491408921,194,5,27
2634,0.3223549491408921,195,16,2
859,0.3223549491408921,196,3,25
767,0.3222726632572569,197,3,26
2376,0.3221082174538344,198,12,1
1968,0.32198499319314056,199,8,16
900,0.32198499319314056,200,3,27
1440,0.32198499319314056,201,5,28
1182,0.3219439393880668,202,4,23
1122,0.321861863176623,203,4,24
1193,0.3217798288034418,204,4,25
580,0.3216978362365407,205,2,33
1368,0.3216568556204596,206,5,29
925,0.3216568556204596,207,3,28
1418,0.3216158854439699,208,5,30
1287,0.3216158854439699,209,5,31
1458,0.3215339763938123,210,5,32
799,0.3214111910158615,211,3,29
1046,0.32108422134036213,212,4,26
2196,0.321043396900268,213,10,8
456,0.3210025828401485,214,1,58
1029,0.3208802029000646,215,3,30
669,0.3207171747263569,216,2,34
511,0.320635722745474,217,2,35
601,0.320635722745474,218,2,36
517,0.3203509663309576,219,2,37
84,0.3202290826405336,220,1,59
238,0.32014787835940256,221,1,60
