node,page_rank,overall_rank,comm,rank_comm
76,0.00199053541410309,1,3,1
260,0.001673383156391139,2,2,1
951,0.0013339972444449417,3,3,2
142,0.0012964570007029956,4,3,3
64,0.001293696901202832,5,3,4
312,0.0012400989377544577,6,7,1
852,0.0012319216884672534,7,3,5
571,0.0011914515777099247,8,2,2
524,0.001144515079282427,9,2,3
399,0.0011225513185827967,10,3,6
586,0.0010944590483496607,11,7,2
249,0.001020422882094416,12,2,4
372,0.0010087883988908204,13,2,5
315,0.0009816926041152927,14,7,3
1540,0.000927561122252492,15,10,1
311,0.0008961967703552855,16,1,1
202,0.0008872846082034655,17,6,1
2507,0.0008632271114888476,18,4,1
1736,0.0008473786215743243,19,3,7
570,0.0008432501552729844,20,2,6
356,0.0008431109862595013,21,1,2
1102,0.0008381848747999755,22,2,7
2510,0.0008229492239928181,23,4,2
1262,0.0008206922508452656,24,2,8
169,0.0008184057754266837,25,6,2
904,0.0008071383809860383,26,3,8
1705,0.0008059396128797441,27,2,9
481,0.0008045656002993729,28,2,10
1971,0.0007829831161197003,29,10,2
51,0.000765756585518311,30,3,9
860,0.0007553520911399692,31,2,11
13,0.0007533703452212379,32,3,10
876,0.0007400501885349349,33,3,11
1522,0.000732120482668144,34,2,12
1139,0.0007236467309247359,35,2,13
563,0.0007234362932923126,36,7,4
275,0.000723326670690742,37,6,3
214,0.0007231961230607523,38,3,12
1723,0.0007219072564555539,39,3,13
194,0.0007217285241107134,40,2,14
426,0.0007178987625843345,41,5,1
422,0.000716131279985525,42,5,2
1987,0.0007120080246030693,43,4,3
211,0.0007107802727982025,44,2,15
1283,0.0007100686836723409,45,4,4
420,0.0007081058479033209,46,5,3
177,0.0007046175801695707,47,1,3
822,0.0006998842640372899,48,2,16
441,0.0006995174182343398,49,5,4
9,0.0006977882526162909,50,1,4
114,0.0006955944353750764,51,3,14
262,0.0006929016042193555,52,6,4
375,0.0006905551703852032,53,2,17
257,0.0006877209597811957,54,6,5
588,0.0006876321474356335,55,2,18
247,0.0006868190934082223,56,6,6
131,0.0006859005029066136,57,3,15
88,0.0006851253815650781,58,3,16
2149,0.0006840705583572878,59,2,19
508,0.0006838454565694531,60,2,20
