node,page_rank,overall_rank,comm,rank_comm
549,18,1,5,1
560,18,2,5,2
593,18,3,5,3
527,18,4,5,4
542,18,5,5,5
564,18,6,5,6
557,18,7,5,7
573,18,8,5,8
565,18,9,5,9
601,18,10,5,10
519,18,11,5,11
572,18,12,5,12
587,18,13,5,13
600,18,14,5,14
579,18,15,5,15
522,18,16,5,16
525,18,17,5,17
583,18,18,5,18
591,18,19,5,19
561,18,20,5,20
578,18,21,5,21
559,18,22,5,22
569,18,23,5,23
546,18,24,5,24
548,18,25,5,25
563,18,26,5,26
530,18,27,5,27
531,18,28,5,28
588,18,29,5,29
541,18,30,5,30
571,18,31,5,31
534,18,32,5,32
558,18,33,5,33
570,18,34,5,34
520,18,35,5,35
533,18,36,5,36
599,18,37,5,37
550,18,38,5,38
532,18,39,5,39
594,18,40,5,40
526,18,41,5,41
547,18,42,5,42
537,17,43,5,43
580,16,44,5,44
545,16,45,5,45
553,16,46,5,46
595,16,47,5,47
606,15,48,6,1
665,15,49,6,2
649,15,50,6,3
634,15,51,6,4
643,15,52,6,5
613,15,53,6,6
648,15,54,6,7
625,15,55,6,8
631,15,56,6,9
637,15,57,6,10
624,15,58,6,11
641,15,59,6,12
632,15,60,6,13
607,15,61,6,14
635,15,62,6,15
666,15,63,6,16
615,15,64,6,17
646,15,65,6,18
633,15,66,6,19
617,15,67,6,20
653,15,68,6,21
612,15,69,6,22
669,15,70,6,23
629,15,71,6,24
630,15,72,6,25
661,15,73,6,26
611,15,74,6,27
620,15,75,6,28
638,15,76,6,29
614,15,77,6,30
645,15,78,6,31
651,15,79,6,32
662,15,80,6,33
671,15,81,6,34
654,15,82,6,35
656,15,83,6,36
619,15,84,6,37
663,14,85,6,38
822,14,86,9,1
826,14,87,9,2
849,14,88,9,3
808,14,89,9,4
818,14,90,9,5
807,14,91,9,6
835,14,92,9,7
813,14,93,9,8
830,14,94,9,9
840,14,95,9,10
846,14,96,9,11
655,14,97,6,39
802,14,98,9,12
841,14,99,9,13
628,14,100,6,40
650,14,101,6,41
609,14,102,6,42
605,14,103,6,43
834,14,104,9,14
804,14,105,9,15
836,14,106,9,16
801,14,107,9,17
794,14,108,9,18
799,14,109,9,19
809,14,110,9,20
639,14,111,6,44
627,14,112,6,45
817,14,113,9,21
821,14,114,9,22
828,14,115,9,23
831,14,116,9,24
1244,13,117,17,1
