node,page_rank,overall_rank,comm,rank_comm
246,0.3165024082082267,1,4,1
227,0.2827359429310913,2,4,2
241,0.2605874218126712,3,4,3
214,0.2594765036278127,4,4,4
229,0.23740772952414269,5,4,5
207,0.22083517609149686,6,4,6
224,0.2170327489492549,7,4,7
221,0.21639612077002937,8,4,8
239,0.2143871129885047,9,4,9
226,0.20231455498742326,10,4,10
234,0.19638432800177083,11,4,11
211,0.1912305343347853,12,4,12
217,0.18850754445324241,13,4,13
205,0.18290495478404112,14,4,14
208,0.1803613425095481,15,4,15
212,0.17744902610628444,16,4,16
223,0.16252691115058504,17,4,17
231,0.13732887744951205,18,4,18
203,0.13437779125314464,19,4,19
192,0.11024119685965056,20,3,1
860,0.0997999879677568,21,22,1
179,0.0980834628808822,22,3,2
149,0.0969591911342406,23,3,3
848,0.0885938119598011,24,22,2
242,0.07674626062517509,25,4,20
222,0.06225646842920159,26,4,21
174,0.0617941747561329,27,3,4
624,0.05627237754747599,28,14,1
452,0.0443373271860639,29,9,1
116,0.04251977611467653,30,2,1
220,0.03962972667057571,31,4,22
233,0.03942892271104817,32,4,23
558,0.03878158442499159,33,12,1
237,0.03702532823074505,34,4,24
464,0.0363050821337157,35,9,2
847,0.03600525209111002,36,22,3
122,0.035175084768541275,37,2,2
202,0.03288344623613578,38,4,25
209,0.03275729462407424,39,4,26
744,0.0324027337553519,40,18,1
236,0.03175484060649279,41,4,27
183,0.031231214738029252,42,3,5
857,0.030865269083642736,43,22,4
173,0.030516279044090495,44,3,6
795,0.02952255832349365,45,20,1
148,0.029200032642291318,46,3,7
110,0.029097732764693678,47,2,3
792,0.028988439667023354,48,20,2
856,0.028627196238549868,49,22,5
219,0.027892027589552303,50,4,28
198,0.027457424455957526,51,3,8
228,0.02696115029451982,52,4,29
405,0.026695213171517115,53,8,1
244,0.02663204422348732,54,4,30
109,0.02599195384360774,55,2,4
163,0.02540464182561278,56,3,9
890,0.02526320540303533,57,24,1
188,0.02507214960711425,58,3,10
1202,0.024696183811445102,59,52,1
142,0.024656054464454076,60,2,5
129,0.024225201531658094,61,2,6
582,0.024070650335564575,62,13,1
620,0.02355134584435362,63,14,2
641,0.023468742627198773,64,14,3
197,0.02344108137775454,65,3,11
1017,0.023301903038516238,66,30,1
250,0.022631354629852843,67,5,1
218,0.022529555140823925,68,4,31
1040,0.022317755798496482,69,32,1
1023,0.02217293139851387,70,31,1
842,0.021710063900405724,71,22,6
168,0.021659567112190872,72,3,12
176,0.021544594740697573,73,3,13
