node,page_rank,overall_rank,comm,rank_comm
227,156,1,4,1
246,150,2,4,2
241,145,3,4,3
860,145,4,22,1
229,140,5,4,4
214,133,6,4,5
268,128,7,5,1
226,125,8,4,6
63,114,9,1,1
149,113,10,3,1
207,112,11,4,7
203,110,12,4,8
224,108,13,4,9
221,107,14,4,10
208,103,15,4,11
192,102,16,3,2
141,101,17,2,1
126,99,18,2,2
217,99,19,4,12
179,98,20,3,3
641,98,21,14,1
110,97,22,2,3
122,94,23,2,4
248,93,24,5,2
744,93,25,18,1
234,91,26,4,13
558,91,27,12,1
405,89,28,8,1
239,88,29,4,14
20,88,30,1,2
101,87,31,2,5
205,87,32,4,15
116,85,33,2,6
212,85,34,4,16
250,84,35,5,3
466,83,36,9,1
17,83,37,1,3
223,82,38,4,17
464,81,39,9,2
11,81,40,1,4
589,80,41,13,1
129,79,42,2,7
848,78,43,22,2
174,78,44,3,4
75,78,45,1,5
389,77,46,8,2
582,76,47,13,2
65,74,48,1,6
452,73,49,9,3
956,73,50,27,1
627,73,51,14,2
211,72,52,4,18
792,72,53,20,1
439,72,54,9,4
142,72,55,2,8
607,71,56,13,3
542,70,57,11,1
197,70,58,3,5
61,70,59,1,7
586,69,60,13,4
388,67,61,8,3
410,67,62,8,4
173,67,63,3,6
709,67,64,16,1
624,67,65,14,3
176,66,66,3,7
1064,66,67,34,1
1040,66,68,32,1
242,65,69,4,19
890,65,70,24,1
95,65,71,2,9
125,64,72,2,10
231,64,73,4,20
597,64,74,13,5
931,63,75,26,1
609,63,76,13,6
518,62,77,11,2
409,62,78,8,5
450,62,79,9,5
532,62,80,11,3
398,62,81,8,6
118,61,82,2,11
795,60,83,20,2
417,60,84,8,7
10,60,85,1,8
83,60,86,2,12
109,59,87,2,13
82,59,88,1,9
341,59,89,7,1
553,59,90,12,2
677,59,91,15,1
1017,58,92,30,1
1090,58,93,36,1
128,58,94,2,14
895,58,95,24,2
1,58,96,1,10
2,58,97,1,11
327,57,98,6,1
1023,54,99,31,1
5,54,100,1,12
26,54,101,1,13
620,54,102,14,4
704,54,103,16,2
346,52,104,7,2
51,52,105,1,14
632,52,106,14,5
28,52,107,1,15
963,51,108,27,2
37,51,109,1,16
13,51,110,1,17
60,51,111,1,18
571,51,112,12,3
67,51,113,1,19
579,50,114,13,7
183,50,115,3,8
198,50,116,3,9
438,50,117,9,6
857,50,118,22,3
962,50,119,27,3
71,49,120,1,20
590,48,121,13,8
320,48,122,6,2
525,47,123,11,4
24,47,124,1,21
308,47,125,6,3
639,47,126,14,6
856,47,127,22,4
9,47,128,1,22
49,47,129,1,23
1245,47,130,62,1
236,46,131,4,21
155,46,132,3,10
148,46,133,3,11
25,46,134,1,24
18,46,135,1,25
616,46,136,14,7
614,45,137,14,8
305,45,138,6,4
1196,45,139,51,1
610,45,140,13,9
524,45,141,11,5
596,45,142,13,10
265,45,143,5,4
113,45,144,2,15
819,44,145,21,1
279,44,146,5,5
563,44,147,12,4
85,44,148,2,16
396,44,149,8,8
105,44,150,2,17
485,44,151,10,1
120,44,152,2,18
498,43,153,10,2
30,43,154,1,26
570,43,155,12,5
552,43,156,12,6
144,43,157,2,19
253,42,158,5,6
509,42,159,11,6
686,42,160,16,3
222,42,161,4,22
578,42,162,12,7
588,42,163,13,11
140,41,164,2,20
100,41,165,2,21
593,41,166,13,12
854,41,167,22,5
865,41,168,23,1
163,41,169,3,12
416,40,170,8,9
12,40,171,1,27
188,40,172,3,13
625,40,173,14,9
257,40,174,5,7
1035,40,175,32,2
391,40,176,8,10
400,40,177,8,11
283,40,178,5,8
270,40,179,5,9
645,39,180,14,10
56,39,181,1,28
1046,39,182,32,3
237,39,183,4,23
272,39,184,5,10
304,38,185,6,5
863,38,186,23,2
233,38,187,4,24
189,38,188,3,14
769,38,189,19,1
849,38,190,22,6
855,38,191,22,7
220,38,192,4,25
788,38,193,19,2
86,38,194,2,22
322,38,195,6,6
847,38,196,22,8
531,38,197,11,7
135,37,198,2,23
851,37,199,22,9
850,37,200,22,10
41,37,201,1,29
19,37,202,1,30
311,36,203,6,7
90,36,204,2,24
1015,36,205,30,2
522,36,206,11,8
634,36,207,14,11
185,36,208,3,15
133,36,209,2,25
372,36,210,7,3
896,36,211,24,3
467,36,212,10,3
1113,36,213,38,1
7,35,214,1,31
990,35,215,29,1
1117,35,216,39,1
644,35,217,14,12
476,35,218,10,4
171,35,219,3,16
160,35,220,3,17
23,35,221,1,32
62,35,222,1,33
1122,35,223,39,2
84,35,224,2,26
684,35,225,16,4
119,34,226,2,27
78,34,227,1,34
703,34,228,16,5
845,34,229,22,11
44,34,230,1,35
307,34,231,6,8
576,34,232,12,8
696,34,233,16,6
42,34,234,1,36
111,34,235,2,28
415,34,236,8,12
1025,34,237,31,2
154,34,238,3,18
393,34,239,8,13
196,34,240,3,19
202,33,241,4,26
296,33,242,6,9
602,33,243,13,13
52,33,244,1,37
842,33,245,22,12
830,33,246,21,2
373,33,247,7,4
608,33,248,13,14
1118,33,249,39,3
1236,32,250,59,1
559,32,251,12,9
721,32,252,17,1
646,32,253,14,13
601,32,254,13,15
68,32,255,1,38
106,32,256,2,29
897,32,257,24,4
70,32,258,1,39
1112,32,259,38,2
339,32,260,6,10
99,31,261,2,30
647,31,262,14,14
457,31,263,9,7
922,31,264,25,1
702,31,265,16,7
628,31,266,14,15
691,31,267,16,8
1173,31,268,47,1
408,31,269,8,14
64,31,270,1,40
35,31,271,1,41
146,31,272,2,31
781,31,273,19,3
1237,31,274,60,1
1078,31,275,35,1
46,30,276,1,42
209,30,277,4,27
447,30,278,9,8
545,30,279,12,10
1260,30,280,67,1
363,30,281,7,5
567,30,282,12,11
121,30,283,2,32
637,30,284,14,16
275,30,285,5,11
587,30,286,13,16
773,30,287,19,4
604,30,288,13,17
643,30,289,14,17
124,30,290,2,33
1179,30,291,48,1
366,30,292,7,6
722,29,293,17,2
331,29,294,6,11
303,29,295,6,12
40,29,296,1,43
619,29,297,14,18
299,29,298,6,13
228,29,299,4,28
446,29,300,9,9
1202,29,301,52,1
880,29,302,23,3
384,29,303,8,15
463,29,304,9,10
153,29,305,3,20
168,29,306,3,21
98,29,307,2,34
385,29,308,8,16
550,28,309,12,12
412,28,310,8,17
195,28,311,3,22
404,28,312,8,18
958,28,313,27,4
164,28,314,3,23
1162,28,315,45,1
1165,28,316,45,2
503,28,317,10,5
348,28,318,7,7
147,28,319,2,35
218,28,320,4,29
591,28,321,13,18
316,27,322,6,14
682,27,323,16,9
326,27,324,6,15
290,27,325,5,12
1094,27,326,36,2
336,27,327,6,16
347,27,328,7,8
117,27,329,2,36
89,27,330,2,37
402,27,331,8,19
980,27,332,28,1
633,27,333,14,19
328,27,334,6,17
38,27,335,1,44
300,26,336,6,18
271,26,337,5,13
941,26,338,26,2
280,26,339,5,14
281,26,340,5,15
599,26,341,13,19
274,26,342,5,16
4,26,343,1,45
251,26,344,5,17
934,26,345,26,3
354,26,346,7,9
180,26,347,3,24
1142,26,348,42,1
462,26,349,9,11
458,26,350,9,12
640,26,351,14,20
626,26,352,14,21
465,25,353,9,13
594,25,354,13,20
514,25,355,11,9
1263,25,356,68,1
1188,25,357,49,1
1250,25,358,64,1
1275,25,359,73,1
881,25,360,23,4
859,25,361,22,13
705,25,362,16,10
431,25,363,9,14
379,25,364,7,10
635,25,365,14,22
700,24,366,16,11
22,24,367,1,46
16,24,368,1,47
517,24,369,11,10
93,24,370,2,38
516,24,371,11,11
1076,24,372,34,2
1146,24,373,42,2
1270,24,374,71,1
805,24,375,20,3
800,24,376,20,4
470,24,377,10,6
812,24,378,20,5
32,24,379,1,48
200,24,380,3,25
1068,24,381,34,3
979,24,382,28,2
554,24,383,12,13
1089,24,384,36,3
1106,24,385,37,1
293,24,386,5,18
392,24,387,8,20
694,24,388,16,12
1109,23,389,38,3
564,23,390,12,14
493,23,391,10,7
387,23,392,8,21
603,23,393,13,21
461,23,394,9,15
535,23,395,11,12
445,23,396,9,16
562,23,397,12,15
592,23,398,13,22
720,23,399,17,3
350,23,400,7,11
580,23,401,13,23
667,23,402,15,2
803,23,403,20,6
14,23,404,1,49
1030,23,405,31,3
232,23,406,4,30
193,23,407,3,26
758,23,408,18,2
170,23,409,3,27
1052,23,410,33,1
162,23,411,3,28
244,23,412,4,31
81,23,413,1,50
687,23,414,16,13
681,23,415,16,14
108,23,416,2,39
468,22,417,10,8
1193,22,418,50,1
364,22,419,7,12
397,22,420,8,22
1020,22,421,31,4
638,22,422,14,23
575,22,423,12,16
329,22,424,6,19
492,22,425,10,9
499,22,426,10,10
1006,22,427,30,3
551,22,428,12,17
3,22,429,1,51
1004,22,430,30,4
1007,22,431,30,5
544,22,432,12,18
77,22,433,1,52
502,22,434,10,11
1242,22,435,61,1
838,22,436,22,14
323,22,437,6,20
484,22,438,10,12
495,22,439,10,13
59,22,440,1,53
491,22,441,10,14
469,22,442,10,15
797,22,443,20,7
482,22,444,10,16
581,22,445,13,24
335,22,446,6,21
1099,22,447,37,2
486,22,448,10,17
1222,22,449,56,1
489,22,450,10,18
487,22,451,10,19
302,22,452,6,22
707,21,453,16,15
600,21,454,13,25
394,21,455,8,23
507,21,456,11,13
697,21,457,16,16
1285,21,458,78,1
103,21,459,2,40
688,21,460,16,17
1034,21,461,32,4
683,21,462,16,18
343,21,463,7,13
546,21,464,12,19
6,21,465,1,54
375,21,466,7,14
362,21,467,7,15
765,21,468,19,5
277,21,469,5,19
8,21,470,1,55
252,21,471,5,20
219,21,472,4,32
371,21,473,7,16
801,21,474,20,8
169,20,475,3,29
258,20,476,5,21
294,20,477,5,22
411,20,478,8,24
80,20,479,1,56
1195,20,480,51,2
66,20,481,1,57
285,20,482,5,23
1228,20,483,57,1
1050,20,484,33,2
291,20,485,5,24
1141,20,486,42,3
264,20,487,5,25
1158,19,488,44,1
