node,page_rank,overall_rank,comm,rank_comm
168,0.10603588907014683,1,1,1
300,0.09624796084828711,2,2,1
4,0.09461663947797716,3,1,2
504,0.07504078303425775,4,3,1
492,0.07177814029363785,5,3,2
695,0.07096247960848287,6,5,1
708,0.06933115823817293,7,5,2
347,0.06851549755301795,8,2,2
533,0.06525285481239805,9,4,1
389,0.06443719412724307,10,3,3
395,0.06199021207177814,11,3,4
490,0.05954323001631322,12,3,5
457,0.05546492659053834,13,3,6
553,0.05383360522022839,14,4,2
416,0.05383360522022839,15,3,7
405,0.052202283849918436,16,3,8
0,0.052202283849918436,17,1,3
386,0.052202283849918436,18,3,9
187,0.05138662316476346,19,1,4
221,0.05057096247960848,20,1,5
463,0.05057096247960848,21,3,10
461,0.04975530179445351,22,3,11
429,0.048939641109298535,23,3,12
396,0.04812398042414356,24,3,13
538,0.04812398042414356,25,4,3
375,0.04730831973898858,26,2,3
425,0.04567699836867863,27,3,14
961,0.044861337683523655,28,8,1
1003,0.044861337683523655,29,8,2
671,0.044861337683523655,30,5,3
903,0.044861337683523655,31,7,1
502,0.04241435562805873,32,3,15
404,0.04241435562805873,33,3,16
617,0.041598694942903754,34,4,4
785,0.040783034257748776,35,6,1
513,0.040783034257748776,36,3,17
468,0.040783034257748776,37,3,18
369,0.040783034257748776,38,2,4
939,0.039967373572593806,39,7,2
342,0.039967373572593806,40,2,5
430,0.039967373572593806,41,3,19
424,0.03915171288743883,42,3,20
64,0.03915171288743883,43,1,6
269,0.03833605220228385,44,2,6
886,0.037520391517128875,45,7,3
489,0.037520391517128875,46,3,21
472,0.0367047308319739,47,3,22
505,0.0367047308319739,48,3,23
410,0.0367047308319739,49,3,24
499,0.03588907014681893,50,3,25
760,0.03507340946166395,51,6,2
402,0.03425774877650897,52,3,26
379,0.033442088091353996,53,3,27
1083,0.033442088091353996,54,10,1
1073,0.033442088091353996,55,10,2
409,0.033442088091353996,56,3,28
212,0.033442088091353996,57,1,7
444,0.033442088091353996,58,3,29
682,0.032626427406199025,59,5,4
456,0.03181076672104405,60,3,30
179,0.03181076672104405,61,1,8
162,0.03181076672104405,62,1,9
469,0.03181076672104405,63,3,31
554,0.03099510603588907,64,4,5
1085,0.03099510603588907,65,10,3
479,0.03099510603588907,66,3,32
340,0.030179445350734097,67,2,7
977,0.030179445350734097,68,8,3
1287,0.030179445350734097,69,15,1
1100,0.030179445350734097,70,10,4
382,0.02936378466557912,71,3,33
157,0.02936378466557912,72,1,10
462,0.02936378466557912,73,3,34
243,0.02936378466557912,74,2,8
1062,0.028548123980424146,75,9,1
1224,0.028548123980424146,76,13,1
624,0.02773246329526917,77,4,6
497,0.02773246329526917,78,3,35
387,0.02773246329526917,79,3,36
481,0.026916802610114195,80,3,37
483,0.026916802610114195,81,3,38
485,0.026916802610114195,82,3,39
486,0.026101141924959218,83,3,40
231,0.026101141924959218,84,1,11
1236,0.02528548123980424,85,13,2
401,0.02528548123980424,86,3,41
422,0.02528548123980424,87,3,42
205,0.02528548123980424,88,1,12
465,0.024469820554649267,89,3,43
1035,0.024469820554649267,90,9,2
67,0.024469820554649267,91,1,13
434,0.02365415986949429,92,3,44
406,0.02365415986949429,93,3,45
311,0.02365415986949429,94,2,9
175,0.022838499184339316,95,1,14
470,0.022838499184339316,96,3,46
1288,0.022838499184339316,97,15,2
439,0.022838499184339316,98,3,47
790,0.02202283849918434,99,6,3
720,0.02202283849918434,100,5,5
378,0.021207177814029365,101,3,48
832,0.021207177814029365,102,6,4
449,0.020391517128874388,103,3,49
1134,0.020391517128874388,104,11,1
