n_nodes,influence,communities,time,nodes,std
0.01872659176029945,18.66,55,16,"[1715, 1388]",71.56283951884525
0.07490636704119868,19.2,55,19,"[5505, 6915, 5252, 6045, 8438, 4248, 10299, 4284]",61.514307278876196
0.6273408239700373,20.37,66,15,"[5505, 6915, 5252, 1414, 3852, 2573, 7053, 4881, 7698, 5524, 5145, 2587, 2333, 4510, 9376, 10400, 1828, 8616, 4009, 554, 4779, 424, 3633, 5819, 1981, 5314, 10567, 2888, 5322, 5451, 7243, 9034, 9172, 5591, 7167, 8156, 3037, 2025, 6380, 2028, 8688, 3446, 5882, 7038, 10197, 4401, 9010, 8497, 3892, 2357, 824, 2360, 7483, 9021, 831, 2369, 9537, 323, 4421, 8518, 4424, 10061, 9044, 9045, 10070, 4445, 10085]",60.27146920392766
0.38389513108614226,20.01,64,16,"[9220, 1669, 8070, 8, 3852, 2573, 7053, 4881, 7698, 5524, 5145, 2587, 2333, 4510, 10400, 5819, 1981, 5314, 3417, 1881, 9376, 4, 1828, 8616, 4009, 554, 4779, 424, 3633, 7644, 7135, 2275, 2279, 5942, 3689, 2670, 9584, 3953, 1776, 6908, 8318]",51.934959324139264
0.21535580524344589,19.41,59,17,"[7043, 4781, 1802, 7306, 7404, 2285, 1421, 1263, 7792, 3856, 5552, 8499, 2900, 3029, 9376, 1595, 1828, 8616, 4009, 554, 4779, 424, 3633]",78.91995945259983
1.0861423220973783,21.21,69,15,"[7043, 5891, 1802, 7306, 3852, 2573, 7053, 4881, 7698, 5524, 5145, 2587, 2333, 4510, 9376, 10400, 1828, 8616, 4009, 554, 4779, 424, 8289, 5819, 1981, 5314, 10567, 2888, 5322, 5451, 7243, 9427, 9172, 5591, 7167, 8156, 3037, 2025, 6380, 2028, 8688, 3446, 5882, 1120, 8831, 5740, 1811, 9326, 6256, 3698, 1139, 2674, 8309, 631, 2168, 5244, 2232, 5308, 7357, 3270, 4297, 9419, 204, 2765, 3277, 9934, 7889, 1750, 7901, 8927, 8877, 9450, 4842, 4847, 4335, 6902, 5880, 2309, 3337, 2319, 8465, 2834, 10515, 6418, 6419, 3868, 3883, 7397, 2291, 7925, 3318, 8439, 4351, 6401, 1794, 9481, 6410, 2321, 9490, 7444, 10006, 8983, 1815, 793, 7962, 5402, 2332, 4886, 6943, 7969, 5922, 6947, 1317, 4902, 8487, 2351]",69.72295174474472
1.6760299625468165,22.2,78,14,"[5505, 9227, 7763, 7306, 8156, 3852, 10400, 9376, 1828, 8616, 4009, 2573, 4779, 7053, 3633, 5819, 1981, 424, 4881, 7698, 1922, 5145, 2888, 5322, 5451, 7167, 9172, 2587, 10567, 3037, 2333, 2025, 4510, 10181, 5314, 7243, 9427, 5591, 6380, 2028, 8688, 9030, 5882, 7038, 8831, 6874, 2336, 1315, 1834, 1835, 6444, 7620, 8915, 10454, 727, 1240, 10455, 1242, 2776, 7382, 8185, 5854, 1757, 1760, 9442, 9955, 9956, 7397, 7402, 236, 1262, 10479, 8944, 8951, 4345, 3321, 6907, 1789, 258, 6402, 262, 10506, 9484, 4367, 5907, 5908, 7445, 6934, 794, 8478, 6431, 1311, 6943, 1316, 7844, 297, 10542, 9520, 4401, 9010, 8497, 3892, 2357, 824, 2360, 7483, 9021, 831, 2369, 9537, 323, 2093, 8518, 4424, 10061, 9044, 9045, 10070, 4445, 10085, 3430, 2406, 3947, 7533, 4464, 6034, 6516, 6005, 5493, 7546, 379, 3452, 1915, 3966, 2500, 6529, 2946, 1422, 2454, 3480, 5021, 8102, 6055, 6574, 5553, 7602, 8628, 7605, 8630, 4026, 8122, 5570, 963, 4549, 10187, 7116, 2508, 8140, 7115, 2511, 2002, 8660, 469, 9175, 8664, 6618, 2524, 6621, 5095, 10217, 8170, 3050, 6124, 5612, 4587, 3565, 2551, 9721, 1535]",48.55769763899438
1.4325842696629214,21.93,69,14,"[6917, 6670, 1802, 1922, 9768, 3852, 7053, 1899, 10181, 9172, 5998, 1394, 4881, 2573, 5591, 7698, 8565, 4510, 7167, 8156, 2333, 8616, 4009, 374, 3037, 2025, 9427, 2028, 5451, 1828, 1981, 5145, 2587, 9376, 7306, 10400, 6780, 5255, 4745, 2185, 4779, 7818, 9869, 7313, 8688, 10567, 5786, 6308, 2888, 6547, 5796, 2448, 8363, 2223, 6319, 5819, 898, 5314, 5322, 6535, 5809, 424, 416, 4783, 7586, 3633, 8883, 2978, 8884, 2232, 10132, 5308, 7357, 3270, 4297, 9419, 204, 2765, 3277, 9934, 7889, 1750, 7901, 8927, 5058, 9954, 8647, 9450, 4842, 4847, 4335, 6902, 5880, 2309, 3337, 2319, 8465, 2834, 10515, 6418, 6419, 3868, 3883, 3372, 7999, 9536, 321, 9024, 835, 9542, 3400, 7496, 6474, 6986, 10062, 334, 6994, 6146, 3414, 8026, 859, 5980, 4444, 1883, 8551, 7017, 6529, 9125, 2476, 2478, 4015, 9651, 6067, 438, 4538, 6587, 7098, 4027, 3007, 3527, 6604, 6092, 1998, 1999, 8148, 6621, 6622, 4573, 6626, 494, 4070, 4591, 2043]",85.86157464197824
0.2808988764044944,19.77,59,16,"[5505, 6915, 5252, 5323, 5524, 10325, 2135, 9812, 2333, 5856, 5451, 3434, 4881, 7698, 2924, 5145, 2587, 7043, 4510, 9376, 1828, 8616, 4009, 554, 4779, 3633, 951, 1981, 5314, 10567]",60.2718010349782
0.13108614232209748,19.14,57,18,"[6917, 6670, 1802, 7306, 493, 2573, 7053, 4881, 7698, 5524, 5145, 7658, 2333, 4510]",67.74282249803296
