generation,hv,influence_k,influence_comm,k_comm
1,0.01778125116552624,0.10823875715453801,0.03573852046305462,0.1473684210526316
2,0.019188787996155553,0.1113540474243663,0.03573852046305462,0.1512280701754386
3,0.02043703863091908,0.11443772144998635,0.03573852046305462,0.15859649122807018
4,0.02087719298245614,0.11590624148269284,0.03573852046305462,0.15999999999999998
5,0.02117085108519459,0.11722976287816843,0.03573852046305462,0.1607017543859649
6,0.021409183629556308,0.11811610793131642,0.03710272410379998,0.1614035087719298
7,0.021624019164837686,0.11897465249386753,0.03856039936308474,0.1624561403508772
8,0.02263917028876361,0.1199662033251567,0.041928820415716314,0.1687719298245614
9,0.023133405058025268,0.12328372853638592,0.04193260747945088,0.17157894736842103
10,0.023513006555636845,0.12464976832924501,0.04199320049920385,0.1733333333333333
11,0.0238597925721909,0.12510602343962932,0.04217790592589405,0.1750877192982456
