n_nodes,influence,nodes
2.2752808988764044,11.820786516853934,"[2748, 9731, 2749, 1032, 1548, 1553, 9749, 1560, 6169, 1050, 6170, 27, 24, 28, 2591, 31, 2593, 7710, 9251, 9254, 40, 4136, 4138, 5672, 10282, 4145, 4146, 563, 4153, 4667, 6207, 4673, 1095, 3665, 2129, 2131, 1619, 3669, 8791, 1625, 1628, 5212, 93, 94, 95, 96, 92, 8806, 1639, 104, 107, 1645, 1137, 1138, 1653, 6262, 119, 8310, 6277, 3209, 9354, 3214, 3215, 3216, 4241, 3218, 4242, 4238, 4247, 2205, 4260, 6820, 4277, 1205, 10423, 4280, 2746, 2747, 4284, 1725, 9918, 4287, 4288, 4289, 193, 9923, 1731, 10437, 9917, 2750, 2248, 720, 724, 1243, 2785, 5857, 7400, 7401, 7914, 7403, 7405, 750, 751, 8943, 753, 2797, 8437, 8438, 761, 4857, 763, 1786, 3325, 766, 7423, 254, 769, 4354, 771, 773, 1286, 780, 3343, 9488, 7446, 6423, 1815, 1816, 6426, 6427, 1818, 6940, 1819, 1817, 1312, 10532, 3881, 4394, 1834, 2348, 4397, 3885, 1840, 5425, 5426, 5427, 3892, 5428, 310, 4913, 1843, 3899, 7485, 7486, 7487, 7488, 320, 321, 5439, 3392, 6973, 8519, 10572, 2904, 4954, 6491, 3420, 6493, 6494, 10079, 10078, 9055, 351, 352, 354, 9570, 8034, 3943, 1902, 1904, 2417, 1905, 1907, 9102, 1423, 2960, 5522, 3475, 5524, 3477, 3478, 5527, 5528, 5523, 8602, 5020, 3487, 3488, 7585, 5538, 3491, 7588, 7587, 7586, 3499, 3500, 6572, 6573, 9138, 4531, 4532, 4533, 4534, 1464, 4537, 3002, 1465, 1468, 1469, 5566, 3519, 5567, 8128, 959, 451, 1471, 1472, 2501, 5576, 2513, 2514, 5073, 2516, 2517, 9170, 2530, 1510, 2539, 2540, 2543, 4086, 6648, 4095]"
2.2284644194756553,11.082490636704119,"[2748, 9731, 2749, 1032, 1548, 1553, 9749, 24, 6169, 1050, 6170, 27, 28, 7710, 31, 9251, 9254, 40, 4136, 4138, 5672, 10282, 4145, 4146, 563, 4153, 6207, 1095, 3665, 2129, 1619, 3669, 8791, 1625, 1628, 5212, 93, 94, 95, 96, 92, 5006, 8806, 1639, 104, 107, 1645, 1137, 1138, 5009, 1653, 6262, 119, 8310, 6277, 3209, 4238, 3214, 3215, 4241, 4242, 3218, 3216, 4247, 2205, 4260, 6820, 4277, 1205, 10423, 4280, 2746, 2747, 4284, 9917, 9918, 4287, 4288, 4289, 193, 9923, 1731, 10437, 1725, 2750, 2248, 724, 1243, 2785, 5857, 7400, 7401, 7914, 7403, 7405, 750, 8943, 751, 753, 2797, 8437, 8438, 761, 4857, 763, 1786, 3325, 766, 7423, 254, 769, 4354, 771, 773, 1286, 3342, 3343, 9488, 7446, 6423, 1815, 1816, 6426, 6427, 1818, 6940, 1819, 1817, 1312, 10532, 3881, 4394, 1834, 2348, 4397, 3885, 1840, 5425, 5426, 5427, 5428, 3892, 310, 4913, 1843, 3899, 7485, 7486, 7487, 7488, 320, 321, 5439, 3392, 6973, 8519, 10572, 2904, 4954, 6491, 3420, 6493, 6494, 10079, 10078, 9055, 351, 352, 354, 1891, 9570, 3943, 8034, 1902, 1904, 1905, 1907, 4476, 4477, 4478, 4482, 4483, 5005, 9102, 1423, 2960, 5007, 5522, 3475, 5524, 3477, 3478, 5527, 5528, 5523, 8602, 5020, 3487, 3488, 7585, 7586, 3491, 7588, 7587, 3499, 3500, 6572, 6573, 9138, 1464, 4537, 3002, 1465, 1468, 1469, 5566, 3519, 5567, 8128, 959, 1471, 1472, 2501, 5576, 2513, 2514, 5073, 2516, 2517, 9170, 2530, 1510, 2539, 2540, 2543, 4086, 6648, 4095]"
2.1722846441947565,11.41301498127341,"[2748, 9731, 2749, 1032, 1548, 1553, 9749, 24, 6169, 1050, 6170, 27, 28, 7710, 31, 9251, 9254, 40, 4136, 4138, 5672, 10282, 4145, 4146, 563, 4153, 4667, 6207, 4673, 1095, 3665, 2129, 1619, 3669, 8791, 1625, 1628, 93, 94, 95, 96, 92, 5006, 8806, 1639, 104, 107, 1645, 1137, 1138, 5009, 1653, 6262, 119, 8310, 6277, 3209, 4238, 3214, 3215, 4241, 4242, 3218, 3216, 4247, 2205, 4260, 6820, 4277, 1205, 10423, 4280, 2746, 2747, 4284, 9917, 9918, 4287, 4288, 193, 4289, 9923, 1725, 10437, 2750, 2248, 720, 724, 2264, 2265, 2266, 1243, 2270, 2273, 5857, 7400, 7401, 7914, 7403, 7405, 750, 8943, 751, 753, 2797, 8437, 8438, 761, 4857, 763, 3325, 766, 7423, 254, 769, 4354, 771, 773, 1286, 780, 3342, 3343, 9488, 7446, 6423, 1815, 1816, 6426, 6427, 1818, 6940, 1819, 1817, 1312, 10532, 3881, 2348, 3885, 1840, 5425, 5426, 5427, 5428, 3892, 310, 1843, 3899, 7485, 7486, 7487, 3392, 7488, 320, 321, 5439, 6973, 8519, 10572, 2904, 4954, 6491, 3420, 6493, 6494, 10079, 10078, 9055, 351, 352, 354, 1891, 9570, 3943, 8034, 1902, 1904, 1905, 1907, 5005, 9102, 1423, 2960, 5007, 5522, 3475, 5524, 3477, 3478, 5527, 5528, 5523, 8602, 5020, 3487, 3488, 7585, 7586, 3491, 7588, 7587, 3499, 3500, 6572, 6573, 1464, 4537, 3002, 1465, 1468, 1469, 5566, 3519, 5567, 959, 1471, 451, 1472, 2501, 5576, 2513, 2514, 5073, 2516, 2517, 2530, 1510, 2539, 2540, 2543, 4086, 6648, 4095]"
2.1254681647940075,10.282677902621723,"[9731, 1032, 1548, 1553, 9749, 24, 6169, 1050, 27, 28, 6170, 7710, 31, 9251, 9254, 4646, 40, 4136, 4138, 5672, 10282, 563, 6207, 2627, 3659, 3660, 3662, 3665, 2129, 1619, 3669, 8791, 1628, 5212, 93, 94, 95, 96, 92, 5006, 8806, 1639, 104, 107, 1645, 1137, 1138, 4210, 4211, 4212, 6262, 119, 4216, 8310, 5009, 1653, 4739, 6277, 3209, 4238, 3214, 3215, 4241, 4242, 3218, 3216, 4247, 2205, 4260, 6820, 4277, 1205, 10423, 4280, 2746, 2747, 2748, 2749, 2750, 4284, 1725, 4288, 4289, 9923, 4287, 10437, 193, 9918, 2248, 1731, 724, 5857, 2785, 9917, 7400, 7401, 7914, 7403, 7405, 750, 8943, 751, 753, 2797, 8437, 8438, 761, 4857, 763, 1786, 254, 766, 7423, 769, 4354, 771, 773, 1286, 3342, 3343, 9488, 7446, 6423, 1815, 1816, 6426, 6427, 1818, 6940, 1819, 1817, 1312, 10532, 1834, 4394, 3885, 4397, 1840, 5425, 5426, 5427, 5428, 1843, 3892, 4913, 310, 6973, 5439, 3392, 320, 321, 8519, 10572, 4954, 6491, 3420, 6493, 6494, 10079, 10078, 351, 352, 354, 9055, 1891, 9570, 3943, 8034, 1902, 1904, 1905, 1907, 5005, 9102, 1423, 2960, 5007, 5522, 3475, 5524, 3477, 3478, 5527, 5528, 5523, 8602, 5020, 3487, 3488, 7585, 7586, 3491, 7588, 7587, 3499, 6572, 6573, 3500, 9138, 1464, 4537, 3002, 1465, 1468, 1469, 5566, 3519, 5567, 959, 8128, 1471, 1472, 2501, 5576, 2513, 2514, 5073, 2516, 2517, 9170, 2530, 1510, 2539, 2540, 2543, 4086, 4095]"
2.0786516853932584,10.402621722846442,"[9731, 1032, 1548, 1553, 9749, 24, 6169, 1050, 27, 28, 6170, 7710, 31, 9251, 9254, 40, 5672, 10282, 5680, 4145, 563, 4667, 6207, 4673, 3665, 1619, 3669, 8791, 5212, 93, 94, 95, 96, 92, 8806, 1639, 104, 107, 2667, 1645, 1138, 5009, 1653, 6262, 119, 8310, 6277, 3209, 4238, 3214, 4240, 4241, 4242, 4243, 4244, 3218, 4246, 4247, 3215, 3216, 2205, 4260, 7339, 7340, 4277, 1205, 10423, 4280, 5816, 2746, 2747, 2748, 2749, 2750, 9918, 9917, 193, 9923, 1731, 10437, 720, 724, 1243, 2785, 5857, 7400, 7401, 7914, 7403, 7405, 750, 2797, 751, 753, 8943, 761, 4857, 763, 1786, 254, 766, 7423, 769, 4354, 771, 773, 1286, 780, 3342, 3343, 9488, 7446, 6423, 1815, 1816, 6426, 6427, 6940, 1818, 1312, 10532, 1834, 4394, 2348, 3885, 4397, 1840, 5425, 5426, 5427, 5428, 4913, 310, 1843, 3892, 3899, 6973, 5439, 320, 321, 3392, 8519, 10572, 2904, 4954, 6491, 3420, 6493, 6494, 10079, 10078, 351, 352, 1891, 354, 9570, 8034, 3943, 9055, 1902, 1904, 1905, 1907, 5005, 5006, 5007, 9102, 1423, 5522, 3475, 5524, 3477, 3478, 5527, 5528, 5523, 8602, 5020, 7585, 5538, 5027, 7588, 7587, 7586, 3499, 3500, 6572, 6573, 9138, 4531, 4532, 4533, 4534, 1464, 4537, 3002, 1465, 1468, 1469, 5566, 3519, 8128, 5567, 1471, 451, 1472, 959, 2501, 5576, 2513, 2514, 9170, 2516, 2517, 5073, 2530, 1510, 2539, 2540, 2543, 4086, 4095]"
2.0318352059925093,9.443913857677904,"[2748, 9731, 1032, 1548, 1553, 9749, 24, 6169, 1050, 27, 28, 6170, 7710, 31, 9251, 9254, 40, 4136, 4138, 5672, 10282, 563, 6207, 3665, 2129, 1619, 3669, 8791, 1628, 5212, 93, 94, 95, 96, 92, 5006, 8806, 1639, 104, 107, 1645, 1137, 1138, 4210, 4211, 4212, 6262, 119, 4216, 8310, 5009, 1653, 4739, 6277, 3209, 4238, 3214, 3215, 4241, 4242, 3218, 3216, 4247, 2205, 4260, 6820, 4277, 1205, 10423, 4280, 2746, 2747, 4284, 1725, 9918, 4287, 4288, 4289, 9917, 9923, 2750, 10437, 2749, 1731, 2248, 724, 5857, 2785, 7400, 7401, 7914, 7403, 7405, 750, 751, 8943, 753, 2797, 8437, 8438, 761, 4857, 763, 1786, 254, 766, 7423, 769, 4354, 771, 773, 1286, 3342, 3343, 9488, 7446, 6423, 1815, 1816, 6426, 6427, 1818, 6940, 1819, 1817, 1312, 10532, 1834, 4394, 3885, 4397, 1840, 4913, 1843, 3892, 6973, 5439, 3392, 8519, 10572, 4954, 6491, 3420, 6493, 6494, 10079, 10078, 351, 352, 354, 9055, 1891, 9570, 3943, 8034, 1902, 1904, 1905, 1907, 5005, 9102, 1423, 2960, 5007, 5522, 3475, 5524, 3477, 3478, 5527, 5528, 5523, 8602, 5020, 3487, 3488, 7585, 5538, 3491, 7588, 7587, 7586, 6572, 6573, 9138, 4531, 4532, 4533, 4534, 1464, 4537, 3002, 1465, 1468, 1469, 5566, 3519, 5567, 959, 8128, 1471, 1472, 2501, 5576, 2513, 2514, 5073, 2516, 2517, 9170, 2530, 1510, 2539, 2540, 2543, 4086, 4095]"
1.9850187265917603,9.752808988764045,"[9731, 1032, 1548, 1553, 9749, 24, 6169, 1050, 27, 28, 6170, 7710, 31, 9251, 9254, 40, 5672, 10282, 4145, 563, 2622, 6207, 2628, 2629, 3665, 2129, 1619, 3669, 8791, 92, 93, 94, 95, 96, 8806, 1639, 104, 107, 1645, 1137, 1138, 5009, 1653, 6262, 119, 8310, 6277, 3209, 9354, 4238, 3214, 3215, 4241, 4242, 3218, 3216, 4247, 2205, 4260, 6820, 1205, 4277, 10423, 4280, 2746, 2747, 2748, 1725, 9918, 9917, 2750, 2749, 9923, 1731, 10437, 2248, 724, 2264, 2265, 2266, 1243, 2270, 2273, 2785, 5857, 7400, 7401, 7914, 7403, 7405, 2797, 2286, 2287, 753, 750, 751, 8943, 761, 4857, 763, 766, 7423, 254, 769, 4354, 771, 773, 1286, 3342, 3343, 9488, 7446, 6423, 1815, 1816, 6426, 6427, 1818, 6940, 1819, 1817, 1312, 10532, 4394, 2348, 4397, 3885, 1840, 1843, 3892, 3899, 6973, 5439, 3392, 8519, 10572, 2904, 4954, 6491, 3420, 6493, 6494, 351, 352, 9055, 354, 9570, 1891, 10079, 10078, 3943, 8034, 1902, 1904, 1905, 1907, 4476, 4477, 4478, 4482, 4483, 5005, 5006, 1423, 5007, 9102, 5522, 3475, 5524, 3477, 3478, 5527, 5528, 5523, 8602, 5020, 3487, 3488, 7585, 7586, 3491, 7588, 7587, 6572, 6573, 9138, 1464, 4537, 3002, 1465, 1468, 1469, 5566, 3519, 1471, 1472, 5567, 959, 2501, 5576, 2513, 2514, 5073, 2516, 2517, 2530, 1510, 2539, 2540, 2543, 4086, 4095]"
1.9288389513108615,10.305898876404495,"[1032, 1548, 1553, 24, 6169, 1050, 27, 28, 6170, 7710, 31, 9251, 9254, 40, 5672, 10282, 4145, 563, 4667, 6207, 4673, 2129, 3665, 1619, 3669, 8791, 5212, 93, 94, 95, 96, 92, 8806, 1639, 104, 107, 1137, 1138, 4210, 4211, 4212, 6262, 119, 4216, 8310, 5009, 1653, 4739, 6277, 3209, 3214, 3215, 3216, 4241, 3218, 4242, 4238, 4247, 2205, 4260, 6820, 1705, 1205, 4277, 10423, 4280, 4793, 2746, 2747, 2748, 2749, 1214, 1215, 1216, 193, 2750, 9923, 1731, 10437, 720, 724, 1243, 2785, 5857, 7400, 7401, 7914, 7403, 7405, 2797, 750, 751, 753, 8943, 761, 4857, 763, 1786, 766, 7423, 254, 769, 771, 773, 1286, 780, 3342, 3343, 9488, 7446, 6423, 1815, 1816, 6426, 6427, 1818, 1819, 1817, 6940, 1312, 10532, 1834, 4394, 2348, 4397, 3885, 1840, 4913, 5426, 1843, 5427, 5425, 5428, 3892, 3899, 6973, 5439, 3392, 8519, 10572, 2904, 4954, 6491, 3420, 6493, 6494, 351, 352, 9055, 354, 9570, 10079, 10078, 1891, 3943, 8034, 1902, 1904, 1905, 1907, 5005, 9102, 1423, 5007, 5006, 5522, 5523, 5524, 3477, 3478, 5527, 5528, 3475, 8602, 5020, 7585, 7586, 7587, 7588, 6572, 6573, 9138, 4537, 3002, 1469, 5566, 3519, 8128, 5567, 959, 451, 2501, 5576, 2513, 2514, 9170, 2516, 2517, 5073, 2530, 1510, 2539, 2540, 2543, 4086, 4095]"
1.8820224719101122,9.634831460674159,"[1032, 1548, 1553, 24, 6169, 1050, 27, 28, 6170, 7710, 31, 9251, 9254, 40, 5672, 10282, 4145, 563, 6207, 3665, 1619, 3669, 8791, 1628, 93, 94, 95, 96, 92, 8806, 1639, 104, 107, 1645, 1138, 5009, 1653, 6262, 119, 8310, 6277, 3209, 4238, 3214, 3215, 4241, 4242, 3218, 3216, 4247, 2205, 4260, 4277, 1205, 10423, 4280, 2746, 2747, 2748, 2749, 2750, 4284, 1725, 4288, 4289, 9923, 4287, 10437, 1731, 2248, 205, 206, 207, 210, 211, 724, 1243, 5857, 2785, 7400, 7401, 7914, 7403, 7405, 750, 751, 8943, 753, 2797, 761, 4857, 763, 254, 766, 7423, 769, 771, 773, 1286, 3342, 3343, 9488, 7446, 6423, 1815, 1816, 6426, 6427, 6940, 1818, 1312, 10532, 4394, 2348, 3885, 4397, 1840, 1843, 3892, 310, 3899, 6973, 5439, 3392, 320, 321, 8519, 10572, 2904, 4954, 6491, 3420, 6493, 6494, 10079, 10078, 351, 352, 354, 9055, 9570, 1891, 3943, 8034, 1902, 1904, 1905, 1907, 5005, 9102, 1423, 5007, 5006, 5522, 3475, 5524, 3477, 3478, 5527, 5528, 5523, 8602, 5020, 3487, 3488, 7585, 7586, 3491, 7588, 7587, 3499, 6572, 6573, 3500, 9138, 1464, 4537, 3002, 1465, 1468, 1469, 5566, 3519, 5567, 959, 1471, 1472, 2501, 5576, 2513, 2514, 5073, 2516, 2517, 2530, 1510, 2539, 2540, 2543, 4086, 4095]"
1.8352059925093633,10.026123595505618,"[9731, 1548, 7695, 7696, 7697, 7698, 1553, 9749, 24, 6169, 1050, 27, 28, 6170, 7710, 31, 40, 5672, 10282, 4145, 4146, 563, 4153, 4667, 6207, 4673, 1095, 3665, 1619, 3669, 8791, 92, 93, 94, 95, 96, 8806, 1639, 1645, 1138, 8310, 6262, 6277, 3209, 9354, 4238, 3214, 3215, 4241, 4242, 3218, 3216, 4247, 2205, 4260, 4277, 1205, 10423, 4280, 2746, 2747, 2748, 9917, 9918, 2750, 2749, 193, 9923, 1731, 10437, 720, 1243, 2785, 5857, 7400, 7401, 7914, 7403, 7405, 750, 751, 8943, 753, 4857, 761, 763, 3325, 766, 254, 7423, 769, 4354, 771, 773, 1286, 780, 3342, 3343, 9488, 7446, 6423, 1815, 6425, 6426, 6427, 1818, 1816, 6940, 1312, 10532, 4394, 2348, 4397, 3885, 1840, 5425, 5426, 1843, 5427, 5428, 3892, 3899, 6973, 5439, 3392, 8519, 10572, 2904, 4954, 6491, 3420, 6493, 10078, 10079, 6494, 351, 8034, 352, 354, 9570, 1891, 3943, 9055, 1902, 1904, 1905, 1907, 5005, 9102, 5007, 5006, 1423, 5522, 3475, 5524, 3477, 3478, 5523, 5009, 8602, 5020, 7585, 7586, 7587, 7588, 6572, 6573, 9138, 1464, 4537, 3002, 1465, 1468, 1469, 5566, 3519, 959, 5567, 1471, 451, 1472, 2501, 5576, 2513, 2514, 5073, 2516, 2517, 2530, 1510, 2539, 2540, 2543, 4086, 6648, 4095]"
