n_nodes,influence,communities,time,nodes
1.0,78.46,1,6,[2747]
5.0,125.86,9,9,"[1977, 2869, 2710, 1599, 1140]"
10.0,427.98,8,12,"[2747, 2099, 838, 536, 2144, 1453, 1599, 905, 22, 2710]"
3.0,159.66,5,10,"[1977, 2148, 838]"
2.0,124.76,3,9,"[2227, 838]"
5.0,220.98,8,11,"[1908, 2825, 2710, 838, 1599]"
12.0,455.56,9,12,"[2747, 1863, 1689, 1330, 536, 838, 1763, 1599, 22, 2144, 2710, 1279]"
3.0,198.34,4,10,"[2747, 1752, 838]"
13.0,469.9,9,13,"[2747, 598, 1453, 630, 1599, 2100, 22, 838, 1279, 1822, 2115, 460, 2144]"
11.0,430.04,11,11,"[2747, 1822, 1652, 1279, 838, 1599, 536, 467, 2144, 457, 2710]"
5.0,284.88,6,10,"[2747, 2690, 2710, 838, 1599]"
10.0,376.32,12,11,"[2747, 274, 1808, 1279, 1599, 838, 7, 1652, 2710, 1822]"
16.0,550.26,11,11,"[2747, 2825, 1453, 630, 536, 887, 838, 1279, 457, 1599, 1868, 22, 2144, 460, 2710, 1822]"
45.0,745.02,13,11,"[2747, 670, 1453, 838, 1599, 2092, 536, 1279, 2710, 2398, 1763, 1979, 22, 1794, 1869, 2144, 1798, 489, 1822, 1652, 2858, 1648, 2361, 2670, 1718, 1939, 2303, 1686, 509, 83, 2077, 1863, 2443, 2554, 1934, 1092, 2087, 1725, 1962, 2101, 929, 733, 460, 1700, 414]"
6.0,266.02,9,12,"[1644, 2825, 2710, 838, 1599, 2100]"
13.0,469.78,11,12,"[2747, 2869, 2615, 838, 2858, 536, 1599, 2366, 2100, 1279, 489, 2710, 1822]"
6.0,328.76,4,11,"[2747, 489, 2710, 460, 838, 1190]"
15.0,475.3,12,12,"[2747, 2869, 2615, 1343, 838, 777, 460, 1599, 1962, 1868, 83, 1, 1822, 2710, 1279]"
8.0,173.0,12,9,"[857, 670, 1599, 2869, 1027, 1662, 2710, 1822]"
7.0,354.96,8,11,"[2747, 1910, 1453, 838, 630, 2710, 1599]"
21.0,550.42,13,13,"[2747, 670, 1586, 1453, 2398, 1599, 536, 1763, 1979, 838, 2713, 792, 1279, 2710, 22, 2144, 929, 1304, 2858, 1652, 1822]"
8.0,252.44,11,10,"[2747, 2869, 1922, 661, 1599, 2710, 1822, 1279]"
31.0,698.28,11,12,"[2747, 1747, 630, 471, 460, 1453, 457, 2510, 1868, 1599, 1348, 1279, 1794, 2670, 2554, 614, 536, 2710, 22, 1869, 83, 1652, 1822, 1844, 2087, 1718, 2398, 1979, 489, 838, 2144]"
6.0,199.2,10,9,"[2747, 1822, 1652, 1263, 2710, 1599]"
18.0,549.54,12,13,"[2747, 2127, 228, 574, 838, 2858, 457, 1599, 536, 1279, 2859, 2710, 83, 2144, 1652, 1868, 22, 460]"
13.0,368.3,13,12,"[2747, 670, 2869, 1175, 2157, 2100, 457, 1599, 1652, 2710, 536, 1279, 1822]"
6.0,322.78,8,12,"[2747, 1822, 460, 838, 2710, 1640]"
