node,page_rank,rank,comm,rank_comm
104,0.0068157931410229595,1,3,1
1067,0.005828865482096578,2,63,1
665,0.005670331617326352,3,27,1
400,0.005646170343485461,4,16,1
119,0.0054883909286383885,5,3,2
615,0.0053817031853574835,6,27,2
235,0.005329999143940634,7,12,1
192,0.005234297288995247,8,8,1
77,0.0051695777375631675,9,3,3
263,0.005100741431398536,10,12,2
279,0.005025523055548015,11,12,3
33,0.004921269829170683,12,2,1
414,0.004778996072535661,13,16,2
816,0.004751430671634373,14,41,1
40,0.004579509334459354,15,2,2
167,0.004545202570963398,16,6,1
952,0.004483450614700978,17,51,1
833,0.004413363604830626,18,41,2
157,0.0043920576226446125,19,6,2
399,0.004337518166341996,20,16,3
862,0.004276145574526125,21,42,1
853,0.00419574689761724,22,42,2
711,0.004156768454341739,23,32,1
86,0.0040280444728651695,24,3,4
659,0.003950785266222279,25,27,3
970,0.0037912833122206394,26,52,1
657,0.0037622573745109134,27,27,4
1018,0.0036865315405107658,28,58,1
983,0.0036252536233284615,29,52,2
479,0.003599394349303374,30,21,1
178,0.0035853133281727686,31,8,2
285,0.003582854536850619,32,12,4
1066,0.0035581542675907677,33,63,2
331,0.003543024658385133,34,13,1
385,0.0035311448044950534,35,16,4
532,0.0034808097536363496,36,23,1
114,0.003314732144257364,37,3,5
1251,0.003262408314925014,38,92,1
290,0.0032023971139865754,39,12,5
502,0.003197577326603693,40,21,2
427,0.003170469131872952,41,16,5
756,0.003139031667865493,42,34,1
122,0.0030920044509560067,43,3,6
776,0.0030840514341794493,44,36,1
482,0.0029711110427896544,45,21,3
302,0.002932521174908124,46,13,2
849,0.002897723301190462,47,42,3
101,0.0028944053585176514,48,3,7
480,0.002863862451043402,49,21,4
740,0.002853519050588862,50,34,2
563,0.002806249363225585,51,25,1
319,0.0028028847512052706,52,13,3
640,0.0028024312796506167,53,27,5
348,0.0027928772115459947,54,15,1
1088,0.002767056917308918,55,63,3
416,0.0026936052609807704,56,16,6
1022,0.002689686815040487,57,58,2
1126,0.00256572326521575,58,68,1
