node,page_rank,overall_rank,comm,rank_comm
1063,840,1,5,1
988,836,2,5,2
327,770,3,2,1
1316,718,4,6,1
1096,677,5,5,3
526,640,6,2,2
1332,639,7,6,2
1033,635,8,5,4
1084,623,9,5,5
1291,620,10,6,3
1018,607,11,5,6
1284,606,12,6,4
1071,602,13,5,7
1926,599,14,12,1
1252,593,15,6,5
1339,588,16,6,6
701,580,17,3,1
599,579,18,3,2
1193,571,19,6,7
1173,571,20,6,8
1146,571,21,5,8
1326,562,22,6,9
1315,561,23,6,10
1295,559,24,6,11
1928,557,25,12,2
1176,557,26,6,12
782,554,27,4,1
593,552,28,3,3
1915,552,29,12,3
654,550,30,3,4
1307,549,31,6,13
361,546,32,2,3
1262,546,33,6,14
652,545,34,3,5
624,544,35,3,6
605,542,36,3,7
584,542,37,3,8
1248,541,38,6,15
579,539,39,3,9
704,539,40,3,10
1274,539,41,6,16
1218,536,42,6,17
1172,534,43,6,18
1091,532,44,5,9
1053,531,45,5,10
615,530,46,3,11
1223,529,47,6,19
653,527,48,3,12
1317,526,49,6,20
1302,525,50,6,21
1290,524,51,6,22
1182,523,52,6,23
582,522,53,3,13
1058,522,54,5,11
1272,521,55,6,24
647,521,56,3,14
1334,520,57,6,25
1099,516,58,5,12
645,514,59,3,15
1192,514,60,6,26
1231,513,61,6,27
635,512,62,3,16
1133,512,63,5,13
1329,511,64,6,28
1189,511,65,6,29
1007,511,66,5,14
1285,510,67,6,30
1107,510,68,5,15
1311,509,69,6,31
1225,508,70,6,32
1119,508,71,5,16
1256,508,72,6,33
1136,507,73,5,17
1056,506,74,5,18
1245,505,75,6,34
1230,505,76,6,35
716,504,77,3,17
1184,504,78,6,36
1297,503,79,6,37
1080,502,80,5,19
1174,502,81,6,38
1219,501,82,6,39
1300,501,83,6,40
738,500,84,3,18
1287,499,85,6,41
870,499,86,4,2
297,497,87,2,4
672,497,88,3,19
1035,496,89,5,20
803,492,90,4,3
1227,491,91,6,42
1251,490,92,6,43
1323,490,93,6,44
1318,490,94,6,45
1043,490,95,5,21
711,489,96,3,20
970,486,97,5,22
1000,486,98,5,23
1151,486,99,5,24
1161,486,100,5,25
1259,484,101,6,46
1045,483,102,5,26
1269,481,103,6,47
1102,481,104,5,27
1129,481,105,5,28
1093,480,106,5,29
1243,480,107,6,48
1032,480,108,5,30
1153,480,109,5,31
1320,479,110,6,49
525,479,111,2,5
971,478,112,5,32
1303,477,113,6,50
774,476,114,4,4
1299,475,115,6,51
1346,475,116,6,52
1009,475,117,5,33
1279,474,118,6,53
1324,474,119,6,54
718,473,120,3,21
998,473,121,5,34
1094,473,122,5,35
1266,472,123,6,55
1244,472,124,6,56
661,472,125,3,22
543,471,126,3,23
1198,470,127,6,57
592,469,128,3,24
892,469,129,4,5
451,469,130,2,6
634,468,131,3,25
1335,468,132,6,58
1148,468,133,5,36
667,466,134,3,26
1095,465,135,5,37
1235,465,136,6,59
370,464,137,2,7
1304,464,138,6,60
1379,463,139,7,1
989,461,140,5,38
522,461,141,2,8
1105,461,142,5,39
844,460,143,4,6
1247,459,144,6,61
1319,458,145,6,62
1336,458,146,6,63
679,458,147,3,27
794,457,148,4,7
1162,457,149,5,40
448,456,150,2,9
630,455,151,3,28
1077,455,152,5,41
1068,454,153,5,42
860,454,154,4,8
639,453,155,3,29
1036,453,156,5,43
529,453,157,2,10
1040,453,158,5,44
926,452,159,4,9
1046,452,160,5,45
549,450,161,3,30
1209,450,162,6,64
1207,450,163,6,65
795,449,164,4,10
670,449,165,3,31
991,449,166,5,46
1240,449,167,6,66
999,449,168,5,47
1292,447,169,6,67
951,447,170,4,11
1067,447,171,5,48
1314,447,172,6,68
1253,446,173,6,69
714,446,174,3,32
1005,446,175,5,49
1343,446,176,6,70
1228,446,177,6,71
1041,445,178,5,50
1008,445,179,5,51
1021,444,180,5,52
1917,444,181,12,4
1195,444,182,6,72
1350,444,183,6,73
1078,443,184,5,53
1088,443,185,5,54
1246,442,186,6,74
929,442,187,4,12
986,440,188,5,55
1104,440,189,5,56
601,440,190,3,33
815,439,191,4,13
1115,439,192,5,57
1152,439,193,5,58
694,439,194,3,34
1059,438,195,5,59
1224,438,196,6,75
1242,438,197,6,76
869,438,198,4,14
762,438,199,4,15
953,438,200,4,16
801,438,201,4,17
847,437,202,4,18
560,437,203,3,35
1208,437,204,6,77
1257,436,205,6,78
1134,436,206,5,60
1309,436,207,6,79
728,436,208,3,36
1280,435,209,6,80
1286,435,210,6,81
1159,435,211,5,61
1169,435,212,6,82
1131,435,213,5,62
777,435,214,4,19
1101,434,215,5,63
1282,434,216,6,83
1069,434,217,5,64
1106,434,218,5,65
843,433,219,4,20
1277,433,220,6,84
572,433,221,3,37
1075,432,222,5,66
638,432,223,3,38
791,432,224,4,21
1025,432,225,5,67
1202,431,226,6,85
1019,431,227,5,68
746,431,228,3,39
1126,431,229,5,69
1177,431,230,6,86
1168,430,231,6,87
1057,430,232,5,70
646,429,233,3,40
705,429,234,3,41
528,428,235,2,11
1358,428,236,6,88
1250,428,237,6,89
726,427,238,3,42
715,427,239,3,43
1197,426,240,6,90
1144,426,241,5,71
1003,426,242,5,72
1260,426,243,6,91
1321,426,244,6,92
285,423,245,2,12
1055,423,246,5,73
573,423,247,3,44
1918,422,248,12,5
513,422,249,2,13
562,422,250,3,45
425,421,251,2,14
1060,421,252,5,74
1073,421,253,5,75
1913,421,254,12,6
1097,420,255,5,76
975,420,256,5,77
1180,419,257,6,93
439,419,258,2,15
343,418,259,2,16
1204,418,260,6,94
916,418,261,4,22
1313,418,262,6,95
1312,418,263,6,96
1015,418,264,5,78
472,417,265,2,17
734,417,266,3,46
969,416,267,5,79
1344,415,268,6,97
310,415,269,2,18
1050,414,270,5,80
1271,413,271,6,98
612,412,272,3,47
407,412,273,2,19
1047,412,274,5,81
277,411,275,2,20
1185,411,276,6,99
973,410,277,5,82
1270,410,278,6,100
981,409,279,5,83
336,409,280,2,21
1178,408,281,6,101
889,408,282,4,23
707,408,283,3,48
1048,406,284,5,84
1014,406,285,5,85
1051,406,286,5,86
779,406,287,4,24
1164,405,288,6,102
1139,405,289,5,87
834,404,290,4,25
1907,404,291,12,7
1006,404,292,5,88
1908,404,293,12,8
750,404,294,3,49
586,404,295,3,50
1030,404,296,5,89
1187,403,297,6,103
1357,402,298,6,104
1328,402,299,6,105
296,401,300,2,22
972,401,301,5,90
498,401,302,2,23
375,401,303,2,24
1111,401,304,5,91
1034,401,305,5,92
1100,400,306,5,93
974,400,307,5,94
1072,400,308,5,95
1931,399,309,12,9
960,399,310,4,26
775,399,311,4,27
286,399,312,2,25
1074,398,313,5,96
719,398,314,3,51
372,397,315,2,26
627,396,316,3,52
1109,395,317,5,97
657,395,318,3,53
1154,395,319,5,98
807,394,320,4,28
1354,393,321,6,106
1120,392,322,5,99
1117,391,323,5,100
751,391,324,3,54
994,391,325,5,101
1349,390,326,6,107
422,389,327,2,27
917,389,328,4,29
966,389,329,5,102
536,389,330,2,28
979,388,331,5,103
447,388,332,2,29
875,388,333,4,30
874,388,334,4,31
1147,387,335,5,104
720,386,336,3,55
808,386,337,4,32
905,386,338,4,33
811,385,339,4,34
788,385,340,4,35
854,385,341,4,36
359,385,342,2,30
789,385,343,4,37
1327,385,344,6,108
1089,384,345,5,105
589,384,346,3,56
1171,384,347,6,109
787,383,348,4,38
996,383,349,5,106
922,383,350,4,39
1203,383,351,6,110
781,383,352,4,40
1118,382,353,5,107
628,381,354,3,57
1238,381,355,6,111
373,381,356,2,31
809,381,357,4,41
1347,381,358,6,112
683,380,359,3,58
668,380,360,3,59
756,379,361,4,42
1921,379,362,12,10
1135,379,363,5,108
1155,379,364,5,109
827,378,365,4,43
927,378,366,4,44
349,378,367,2,32
831,378,368,4,45
820,378,369,4,46
412,378,370,2,33
909,377,371,4,47
1012,377,372,5,110
876,376,373,4,48
879,376,374,4,49
1024,376,375,5,111
813,375,376,4,50
556,375,377,3,60
891,375,378,4,51
908,375,379,4,52
931,374,380,4,53
982,373,381,5,112
883,373,382,4,54
934,373,383,4,55
918,373,384,4,56
940,372,385,4,57
868,372,386,4,58
688,372,387,3,61
884,372,388,4,59
968,372,389,5,113
503,372,390,2,34
840,371,391,4,60
828,371,392,4,61
1175,370,393,6,113
733,370,394,3,62
545,370,395,3,63
185,370,396,1,1
1298,370,397,6,114
1912,369,398,12,11
790,369,399,4,62
594,369,400,3,64
459,368,401,2,35
838,368,402,4,63
938,367,403,4,64
964,367,404,4,65
1194,367,405,6,115
563,367,406,3,65
417,366,407,2,36
823,366,408,4,66
1301,366,409,6,116
816,366,410,4,67
458,366,411,2,37
1113,366,412,5,114
837,366,413,4,68
434,366,414,2,38
1013,365,415,5,115
836,365,416,4,69
552,365,417,3,66
893,365,418,4,70
928,365,419,4,71
1200,364,420,6,117
341,364,421,2,39
539,364,422,2,40
487,364,423,2,41
799,364,424,4,72
368,364,425,2,42
1976,364,426,14,1
943,363,427,4,73
568,363,428,3,67
436,363,429,2,43
859,363,430,4,74
835,362,431,4,75
721,362,432,3,68
912,362,433,4,76
1932,362,434,12,12
1002,362,435,5,116
610,362,436,3,69
1337,361,437,6,118
338,361,438,2,44
1020,361,439,5,117
520,360,440,2,45
1296,360,441,6,119
1188,360,442,6,120
1108,359,443,5,118
450,359,444,2,46
515,359,445,2,47
453,359,446,2,48
408,359,447,2,49
567,359,448,3,70
1217,359,449,6,121
313,359,450,2,50
911,358,451,4,77
768,357,452,4,78
321,357,453,2,51
1348,357,454,6,122
508,357,455,2,52
1141,357,456,5,119
1341,357,457,6,123
923,357,458,4,79
866,357,459,4,80
461,357,460,2,53
495,356,461,2,54
418,356,462,2,55
735,356,463,3,71
759,356,464,4,81
887,355,465,4,82
1029,355,466,5,120
976,355,467,5,121
1027,355,468,5,122
1042,354,469,5,123
961,354,470,4,83
833,354,471,4,84
531,353,472,2,56
561,353,473,3,72
428,353,474,2,57
935,352,475,4,85
1149,352,476,5,124
1740,352,477,9,1
962,352,478,4,86
900,352,479,4,87
937,352,480,4,88
673,352,481,3,73
862,352,482,4,89
800,351,483,4,90
822,351,484,4,91
763,351,485,4,92
410,351,486,2,58
1082,351,487,5,125
895,350,488,4,93
802,350,489,4,94
921,349,490,4,95
479,349,491,2,59
839,349,492,4,96
806,349,493,4,97
1278,349,494,6,124
949,349,495,4,98
446,348,496,2,60
752,348,497,3,74
766,348,498,4,99
596,348,499,3,75
1212,348,500,6,125
1905,348,501,12,13
274,347,502,2,61
849,347,503,4,100
1237,347,504,6,126
1702,347,505,9,2
364,347,506,2,62
532,347,507,2,63
1756,346,508,9,3
1289,346,509,6,127
817,346,510,4,101
1249,346,511,6,128
830,346,512,4,102
824,346,513,4,103
702,345,514,3,76
384,345,515,2,64
1079,345,516,5,126
825,344,517,4,104
1367,344,518,7,2
1190,344,519,6,129
1338,344,520,6,130
784,344,521,4,105
770,344,522,4,106
497,344,523,2,65
1199,343,524,6,131
1356,343,525,6,132
632,343,526,3,77
992,343,527,5,127
1275,342,528,6,133
1533,342,529,7,3
902,342,530,4,107
881,341,531,4,108
915,341,532,4,109
978,341,533,5,128
452,340,534,2,66
776,340,535,4,110
419,340,536,2,67
330,339,537,2,68
1241,339,538,6,134
486,338,539,2,69
903,338,540,4,111
1355,337,541,6,135
608,337,542,3,78
629,337,543,3,79
308,337,544,2,70
660,336,545,3,80
863,336,546,4,112
796,336,547,4,113
1127,336,548,5,129
346,336,549,2,71
846,335,550,4,114
403,335,551,2,72
852,335,552,4,115
1498,334,553,7,4
1016,334,554,5,130
489,334,555,2,73
1196,333,556,6,136
276,333,557,2,74
540,333,558,2,75
772,333,559,4,116
496,332,560,2,76
907,332,561,4,117
394,331,562,2,77
936,331,563,4,118
374,331,564,2,78
963,331,565,4,119
1220,330,566,6,137
1627,330,567,8,1
460,330,568,2,79
1062,329,569,5,131
780,329,570,4,120
797,328,571,4,121
1263,328,572,6,138
548,327,573,3,81
1233,327,574,6,139
1750,327,575,9,4
462,327,576,2,80
1591,326,577,8,2
1582,326,578,8,3
914,326,579,4,122
334,326,580,2,81
411,326,581,2,82
376,325,582,2,83
947,325,583,4,123
331,325,584,2,84
382,325,585,2,85
405,325,586,2,86
1156,324,587,5,132
1544,324,588,8,4
1900,324,589,11,1
455,324,590,2,87
468,323,591,2,88
488,323,592,2,89
1909,323,593,12,14
952,323,594,4,124
1258,323,595,6,140
685,323,596,3,82
1655,323,597,9,5
517,322,598,2,90
379,322,599,2,91
1563,322,600,8,5
323,322,601,2,92
1587,322,602,8,6
723,321,603,3,83
724,321,604,3,84
1692,321,605,9,6
1763,320,606,9,7
1557,320,607,8,7
516,320,608,2,93
1625,320,609,8,8
1610,319,610,8,9
404,319,611,2,94
289,318,612,2,95
1694,318,613,9,8
1765,318,614,9,9
1281,318,615,6,141
1666,317,616,9,10
401,317,617,2,96
399,317,618,2,97
607,317,619,3,85
1598,317,620,8,10
1044,316,621,5,133
665,316,622,3,86
427,316,623,2,98
1618,316,624,8,11
518,316,625,2,99
283,316,626,2,100
1688,316,627,9,11
1039,316,628,5,134
1717,315,629,9,12
842,315,630,4,125
814,315,631,4,126
1646,315,632,8,12
332,315,633,2,101
1690,315,634,9,13
398,315,635,2,102
980,315,636,5,135
1001,314,637,5,136
319,314,638,2,103
611,314,639,3,87
354,314,640,2,104
1273,313,641,6,142
340,313,642,2,105
1004,313,643,5,137
1330,313,644,6,143
1083,312,645,5,138
512,312,646,2,106
335,312,647,2,107
1239,312,648,6,144
1547,312,649,8,13
1648,312,650,8,14
1569,312,651,8,15
1720,311,652,9,14
576,311,653,3,88
640,311,654,3,89
358,311,655,2,108
1674,311,656,9,15
1010,311,657,5,139
1607,311,658,8,16
381,311,659,2,109
1294,310,660,6,145
954,310,661,4,127
861,310,662,4,128
