node,page_rank,overall_rank,comm,rank_comm
115,0.16312298820381685,1,1,1
265,0.12205007946520767,2,2,1
482,0.09605173910395456,3,5,1
389,0.08020440706039748,4,4,1
481,0.07639964064946864,5,4,2
220,0.07154848367354019,6,2,2
924,0.06989150547843381,7,10,1
612,0.06367988425136789,8,6,1
335,0.059110074901353844,9,3,1
235,0.0568198338691321,10,2,3
561,0.05371979059451492,11,5,2
956,0.052936690108868374,12,12,1
730,0.05216929756075887,13,7,1
590,0.0437438560529771,14,6,2
433,0.04262001042437417,15,4,3
259,0.04219478379972531,16,2,4
542,0.03900678047992997,17,5,3
952,0.03409441166987548,18,12,2
26,0.0327476665544012,19,1,2
350,0.03190181985695594,20,3,2
686,0.031353421162756405,21,7,2
652,0.031216285085631006,22,6,3
386,0.030667943913728533,23,4,4
22,0.028844734209287567,24,1,3
402,0.02817132533891029,25,4,5
923,0.027730906237646,26,10,2
897,0.02741720034876521,27,10,3
888,0.026639275312589143,28,10,4
746,0.025838870735237073,29,7,3
665,0.025782018496537773,30,6,4
256,0.02519098740117291,31,2,5
586,0.02460261257744087,32,6,5
850,0.024068639590722838,33,9,1
615,0.02383871126940527,34,6,6
76,0.02372460231696156,35,1,4
976,0.022132347467930424,36,13,1
469,0.021213454482586287,37,4,6
250,0.02045204488115588,38,2,6
348,0.01973289982991409,39,3,3
342,0.01918547739431532,40,3,4
656,0.019063721406437233,41,6,7
962,0.01839732318560701,42,12,3
413,0.01827109416074057,43,4,7
472,0.017365134810267375,44,4,8
626,0.01725061473620422,45,6,8
964,0.016731076359969763,46,12,4
684,0.01657067193132313,47,7,4
372,0.015192985136538037,48,3,5
44,0.014993701774776592,49,1,5
318,0.014053554981242647,50,3,6
602,0.013617187389007903,51,6,9
954,0.012839099584051956,52,12,5
633,0.01269370489587956,53,6,10
622,0.012639258037090638,54,6,11
883,0.012570906280124654,55,10,5
582,0.012392381711123014,56,6,12
584,0.012313157559701091,57,6,13
724,0.012117853691558255,58,7,5
960,0.011425199717304773,59,12,6
721,0.011354497414935102,60,7,6
195,0.011039407963462368,61,2,7
731,0.010873703849816374,62,7,7
300,0.010398660792505024,63,3,7
176,0.010371911306925757,64,2,8
465,0.010367087944427087,65,4,9
535,0.008984652679928198,66,5,4
588,0.008627234224337222,67,6,14
252,0.008579679047319358,68,2,9
454,0.008534561217885143,69,4,10
13,0.00851256296492254,70,1,6
951,0.008438803533797523,71,12,7
1,0.008424536911583734,72,1,7
688,0.008213102081046933,73,7,8
979,0.00807563263832028,74,13,2
532,0.007995320391723798,75,5,5
585,0.00781163115808888,76,6,15
359,0.007707658222441174,77,3,8
150,0.007633446219483768,78,2,10
921,0.00743831966647363,79,10,6
836,0.007421501130511169,80,9,2
161,0.007070128425364507,81,2,11
847,0.007048898997993535,82,9,3
127,0.006804013108167018,83,1,8
398,0.006522976078039337,84,4,11
373,0.0063416757260469185,85,3,9
967,0.006059653678937603,86,13,3
458,0.006056023813405867,87,4,12
548,0.0058700755374215385,88,5,6
320,0.005695580199349068,89,3,10
236,0.00545917090991516,90,2,12
877,0.005433989581892958,91,9,4
238,0.005421758130883496,92,2,13
174,0.005420746039394427,93,2,14
163,0.00527283376216128,94,2,15
498,0.005250240708591875,95,5,7
594,0.00504283726139794,96,6,16
427,0.005038592414212614,97,4,13
737,0.005020587829932272,98,7,9
790,0.005013660974659241,99,8,1
628,0.004987116781971406,100,6,17
627,0.004926038265179829,101,6,18
576,0.004761514214298882,102,5,8
417,0.004596578069521492,103,4,14
181,0.004482613710047638,104,2,16
609,0.004445939388185756,105,6,19
662,0.0043570826174253235,106,6,20
385,0.004264259658917579,107,4,15
637,0.00425801834757494,108,6,21
303,0.004254834730527342,109,3,11
138,0.0042465025348181525,110,2,17
447,0.004245697424638037,111,4,16
340,0.004139109257402511,112,3,12
650,0.0041004116679020835,113,6,22
747,0.0040544263141200285,114,7,10
287,0.003984315242325331,115,3,13
148,0.003908534339200858,116,2,18
438,0.003873224641176287,117,4,17
159,0.00387179997597095,118,2,19
352,0.0038588988542591716,119,3,14
782,0.003845048008157421,120,8,2
219,0.0038233491088436704,121,2,20
710,0.003782686322780673,122,7,11
188,0.0037507479963933394,123,2,21
382,0.0037500600385857417,124,4,18
203,0.00370897275307114,125,2,22
865,0.0036614745982390547,126,9,5
279,0.003618677272233179,127,3,15
872,0.003581809446064693,128,9,6
936,0.003521827279214478,129,11,1
349,0.003509196338407353,130,3,16
309,0.003489675290681533,131,3,17
742,0.003481133322949675,132,7,12
523,0.003476053634719207,133,5,9
646,0.003454999878457176,134,6,23
169,0.0033937072870571135,135,2,23
649,0.0033687288870577906,136,6,24
463,0.0033567134065728846,137,4,19
406,0.003317885898853362,138,4,20
673,0.0033051683614905465,139,6,25
647,0.0032796677034083364,140,6,26
337,0.003236624943414463,141,3,18
365,0.0032265027905595475,142,3,19
760,0.003211755572014555,143,7,13
765,0.003205412505994609,144,7,14
651,0.0031952531079999574,145,6,27
603,0.003181118036207389,146,6,28
171,0.00316844565351747,147,2,24
957,0.00312776031587775,148,12,8
275,0.003121083653774807,149,3,20
706,0.0030872187885440014,150,7,15
405,0.0030751392801166015,151,4,21
186,0.0030605556282603005,152,2,25
480,0.003057922361868894,153,4,22
808,0.0030536352321281005,154,8,3
355,0.0030496695996696755,155,3,21
478,0.0030027253733895093,156,4,23
855,0.0029834597816205516,157,9,7
681,0.0029495224321090256,158,7,16
592,0.002842444719046772,159,6,29
290,0.0028217864247483235,160,3,22
600,0.0028158325501202244,161,6,30
121,0.002797523011542224,162,1,9
201,0.0027828639826585145,163,2,26
876,0.0027690863883981006,164,9,8
468,0.002727461098474129,165,4,24
653,0.0027230508789163315,166,6,31
534,0.002667399955545366,167,5,10
881,0.0025862377530107275,168,10,7
733,0.002574417616209837,169,7,17
207,0.002572070982962362,170,2,27
187,0.002533946617461015,171,2,28
630,0.0025068798613292653,172,6,32
621,0.002497824256831445,173,6,33
595,0.00248091923971596,174,6,34
178,0.0024598619041237223,175,2,29
947,0.002452728465892816,176,11,2
400,0.002452102677862545,177,4,25
841,0.002435592760637897,178,9,9
768,0.002417557253466335,179,8,4
892,0.002406132787476925,180,10,8
579,0.002377527486822598,181,5,11
987,0.002368974172968494,182,14,1
722,0.0023619852444402055,183,7,18
145,0.0023612330833349448,184,2,30
573,0.002350661723324906,185,5,12
403,0.002349918503665116,186,4,26
278,0.0023132891624392696,187,3,23
715,0.0022810451724133165,188,7,19
110,0.002258065458653561,189,1,10
728,0.0022566578464961505,190,7,20
635,0.002244256735990896,191,6,35
489,0.0022374154048147733,192,5,13
554,0.0022221465069555395,193,5,14
694,0.002214209330455665,194,7,21
424,0.0022056401476501647,195,4,27
182,0.0021944378399217463,196,2,31
347,0.0021555547068313175,197,3,24
804,0.0021394617473057126,198,8,5
670,0.0021298113507953686,199,6,36
179,0.002118036326622687,200,2,32
91,0.0020993077777550274,201,1,11
849,0.0020908987250176665,202,9,10
858,0.0020902750755267393,203,9,11
974,0.0020425140670531834,204,13,4
916,0.0020403068719736664,205,10,9
547,0.002033602332803809,206,5,15
968,0.0020325203252032522,207,13,5
208,0.002032447078133577,208,2,33
769,0.0020191355764581764,209,8,6
977,0.0020139112886551043,210,13,6
474,0.0020103899477710084,211,4,28
