node,page_rank,overall_rank,comm,rank_comm
1986,0.2003646839518619,1,15,1
1990,0.1961134074170207,2,15,2
1992,0.1937430228873854,3,15,3
1988,0.17573128169331145,4,15,4
1993,0.1721475898617786,5,15,5
1994,0.16980549285249694,6,15,6
1987,0.14994368510741285,7,15,7
1995,0.14903106192954205,8,15,8
1984,0.13926398484387786,9,15,9
1991,0.13190909805979734,10,15,10
1985,0.11683594971172195,11,15,11
870,0.10236327109811795,12,4,1
799,0.09928408779695237,13,4,2
950,0.09492010235245722,14,4,3
934,0.09204511696033194,15,4,4
1612,0.0868825568896917,16,8,1
1989,0.08000320081473804,17,15,12
891,0.0746270592767123,18,4,5
834,0.0736262878146124,19,4,6
777,0.07129390895889665,20,4,7
830,0.06783658146393916,21,4,8
931,0.06725011607280768,22,4,9
313,0.06328926211450835,23,2,1
918,0.06321949743882084,24,4,10
1566,0.06287740225450882,25,8,2
1587,0.0609986833836768,26,8,3
928,0.06097019272848098,27,4,11
855,0.06061398554636215,28,4,12
297,0.06021627445040586,29,2,2
1561,0.05911733420958381,30,8,4
782,0.057676377943629335,31,4,13
1947,0.05699960899998503,32,13,1
784,0.05553461509434123,33,4,14
1552,0.0551105452601954,34,8,5
811,0.054862606958336,35,4,15
1959,0.05434879960355702,36,13,2
1963,0.05409518920795598,37,13,3
1565,0.053300848891276925,38,8,6
842,0.05291862455788626,39,4,16
1949,0.050584358953621913,40,13,4
1611,0.050231670885519136,41,8,7
1258,0.049051916463368574,42,6,1
2006,0.048897749763507914,43,17,1
1576,0.04777503848432879,44,8,8
1629,0.04755810587493597,45,8,9
818,0.04684719175197916,46,4,17
783,0.04583312975649878,47,4,18
765,0.04550018053649795,48,4,19
1622,0.04501024025792811,49,8,10
1536,0.04421022023467491,50,8,11
850,0.043968574098588946,51,4,20
791,0.043785870995432685,52,4,21
876,0.04366248093891035,53,4,22
412,0.042806926203900045,54,2,3
576,0.04251276534841139,55,3,1
1634,0.042213643650191535,56,8,12
370,0.04210342191791665,57,2,4
921,0.04150804096963286,58,4,23
835,0.04136964012360113,59,4,24
832,0.040369460870131955,60,4,25
487,0.039871143011083396,61,2,5
1559,0.03927971667112946,62,8,13
1638,0.03925187096393784,63,8,14
866,0.03906369740823483,64,4,26
1557,0.038636074258651364,65,8,15
540,0.03793546573796009,66,2,6
763,0.037852011675826726,67,4,27
377,0.03777769714482422,68,2,7
833,0.037610605873802515,69,4,28
930,0.03729559373370373,70,4,29
1231,0.03728817919923052,71,6,2
1649,0.03709101030303019,72,8,16
2008,0.037014921370654846,73,17,2
965,0.036866792533110974,74,4,30
336,0.03624209715446447,75,2,8
2013,0.03601396545870509,76,17,3
1197,0.035678642767973515,77,6,3
274,0.03529568004009442,78,2,9
1212,0.035173400168739245,79,6,4
635,0.035156779817358264,80,3,2
897,0.03500147633501231,81,4,31
853,0.034726290646351625,82,4,32
1247,0.03451045415473518,83,6,5
2012,0.03448623403714016,84,17,4
1997,0.034412207151863376,85,16,1
1535,0.033777546743741546,86,8,17
355,0.03312828085452833,87,2,10
513,0.031665791206997425,88,2,11
908,0.031601079223703026,89,4,33
1273,0.03156088584596297,90,6,6
2011,0.03132371029714966,91,17,5
1208,0.03102265412447197,92,6,7
776,0.03097694610160759,93,4,34
949,0.03087793545942157,94,4,35
1643,0.03086170790580367,95,8,18
1961,0.030392954070687105,96,13,5
335,0.030381100689130587,97,2,12
1640,0.03034175718997034,98,8,19
304,0.03020015568500341,99,2,13
451,0.02997653903493273,100,2,14
778,0.029761672339116828,101,4,36
772,0.029622200834181274,102,4,37
699,0.02939217608990992,103,3,3
492,0.029144648290617945,104,2,15
938,0.028487361751739836,105,4,38
1946,0.028467004439551954,106,13,6
1937,0.028448966366714696,107,13,7
357,0.028297405065440744,108,2,16
1619,0.028266985647205596,109,8,20
902,0.02818214944905431,110,4,39
1185,0.02797496975126962,111,6,8
1950,0.027954897589050506,112,13,8
1957,0.02786376303974387,113,13,9
2009,0.02766782165344644,114,17,6
1246,0.027596369879153437,115,6,9
954,0.027436362849066854,116,4,40
730,0.027372350977151818,117,3,4
1304,0.027371048813937895,118,6,10
1945,0.02709919475028667,119,13,10
2007,0.02703223073227179,120,17,7
820,0.02670553987669956,121,4,41
1591,0.02661590458084844,122,8,21
1642,0.026537275373527906,123,8,22
910,0.026477023897828585,124,4,42
341,0.02644783772989289,125,2,17
859,0.026236339904858928,126,4,43
1195,0.025917464722160714,127,6,11
1563,0.025745089965873637,128,8,23
398,0.025718580457206708,129,2,18
1935,0.025631347523549945,130,13,11
376,0.02562733276173052,131,2,19
1996,0.02533243099599201,132,16,2
812,0.0253288794296872,133,4,44
340,0.025198794977299974,134,2,20
919,0.025182438357620327,135,4,45
1192,0.025124151155069715,136,6,12
861,0.02497170095938339,137,4,46
1940,0.024931462993734877,138,13,12
280,0.02476586965590197,139,2,21
1546,0.024504625438512034,140,8,24
945,0.024071094458563248,141,4,47
1228,0.023771256512556186,142,6,13
661,0.02372743624932273,143,3,5
2003,0.023590158907025868,144,16,3
848,0.023517595734617036,145,4,48
957,0.023367884107939964,146,4,49
1300,0.02325226678830517,147,6,14
770,0.023195216989311974,148,4,50
1343,0.02316448409603021,149,6,15
1581,0.023109411213042084,150,8,25
1954,0.023091787719309358,151,13,13
1179,0.02303355488179488,152,6,16
796,0.023026673530468427,153,4,51
802,0.023015302501885618,154,4,52
804,0.0228577221957767,155,4,53
1624,0.022727820985927193,156,8,26
1604,0.022473321953638967,157,8,27
1960,0.022313457021749052,158,13,14
1220,0.022270342345880573,159,6,17
1938,0.022229258743242178,160,13,15
1964,0.02204282009665135,161,13,16
1999,0.02162641420484997,162,16,4
1944,0.02158526261945753,163,13,17
880,0.0214309474001775,164,4,54
468,0.02138404514442212,165,2,22
1280,0.021288744889432915,166,6,18
871,0.02121723347792077,167,4,55
1588,0.02119388306755359,168,8,28
1294,0.021177047918600016,169,6,19
2000,0.021144089351809853,170,16,5
575,0.021142575701025266,171,3,6
2002,0.021093340303951148,172,16,6
2005,0.0210621465451755,173,17,8
923,0.020994142642441465,174,4,56
371,0.02092979788806411,175,2,23
530,0.02086951128655789,176,2,24
890,0.020787557806820726,177,4,57
1166,0.020584704131671794,178,6,20
962,0.020583022633766296,179,4,58
2001,0.0202380672191045,180,16,7
414,0.02011954005872148,181,2,25
385,0.02008036726071786,182,2,26
1268,0.01961616284406095,183,6,21
1288,0.019588699200373896,184,6,22
1550,0.01955851863419672,185,8,29
893,0.019556687354175397,186,4,59
404,0.019516502726319218,187,2,27
1614,0.01951035063784566,188,8,30
1948,0.019468560385077584,189,13,18
505,0.019449846061063068,190,2,28
348,0.019440863263767497,191,2,29
406,0.01940305205467963,192,2,30
1715,0.019361887548858325,193,9,1
1955,0.019306734652105556,194,13,19
1626,0.019232109574145697,195,8,31
281,0.01922094576769028,196,2,31
1901,0.019127158309736422,197,11,1
347,0.01909291417584955,198,2,32
1354,0.01909228846994541,199,6,23
461,0.019018912673177277,200,2,33
1226,0.018958929818523308,201,6,24
944,0.01886048861373808,202,4,60
640,0.01872075974705044,203,3,7
1339,0.018678379254666908,204,6,25
501,0.018664638883447927,205,2,34
1252,0.01857953096231304,206,6,26
1610,0.018487724551695405,207,8,32
1265,0.01841477969140934,208,6,27
381,0.018392899251321187,209,2,35
1541,0.01831495434082873,210,8,33
436,0.018274095843259775,211,2,36
481,0.018221934681710378,212,2,37
367,0.018083298220208655,213,2,38
1163,0.01807751499250307,214,6,28
851,0.018072646386804007,215,4,61
841,0.017979359067253092,216,4,62
1936,0.017968203947208567,217,13,20
1951,0.017953893895601845,218,13,21
1593,0.017918497742552036,219,8,34
883,0.017867739243342666,220,4,63
299,0.01781236806966662,221,2,39
1018,0.01777558949614663,222,5,1
664,0.01770912077819602,223,3,8
520,0.017629968263671105,224,2,40
1595,0.017627702441232858,225,8,35
1326,0.017616348755944464,226,6,29
1590,0.017602371684745405,227,8,36
684,0.01759692817701107,228,3,9
936,0.017556966630304354,229,4,64
1276,0.01755639853099266,230,6,30
292,0.017429626116407016,231,2,41
306,0.017422688986019518,232,2,42
1953,0.01736341781099353,233,13,22
2010,0.017215428617342612,234,17,9
924,0.017178803431335394,235,4,65
1939,0.017170822847880015,236,13,23
1290,0.017141110401260436,237,6,31
486,0.01703977519467784,238,2,43
1636,0.01703312933897729,239,8,37
737,0.016925051932862912,240,3,10
310,0.016910636711801794,241,2,44
1755,0.01683697707306893,242,9,2
824,0.016815410801638998,243,4,66
906,0.016762979372460813,244,4,67
597,0.01674447995727966,245,3,11
1702,0.016695051875930806,246,9,3
547,0.01668412718984245,247,3,12
452,0.01667846468657751,248,2,45
403,0.016656420886301555,249,2,46
491,0.016385638287690997,250,2,47
1764,0.016304991357110613,251,9,4
1303,0.01614241948781034,252,6,32
1891,0.016064431887201247,253,11,2
805,0.01589404118541183,254,4,68
1737,0.015879012197742088,255,9,5
1884,0.015875792847081318,256,11,3
420,0.015777338887841948,257,2,48
300,0.015736518095709744,258,2,49
419,0.01561694949387785,259,2,50
388,0.015609916633142434,260,2,51
362,0.015564738671967678,261,2,52
1583,0.01556287388072077,262,8,38
813,0.015434962869729655,263,4,69
1602,0.01538732248488455,264,8,39
551,0.015384307941580917,265,3,13
1244,0.015181653082749108,266,6,33
720,0.01509140728439797,267,3,14
698,0.015033116390521453,268,3,15
354,0.015030181370208886,269,2,53
1686,0.014910078391332548,270,9,6
1281,0.014790753642179461,271,6,34
1243,0.014765975552739842,272,6,35
927,0.014652920731424079,273,4,70
662,0.014541402746710397,274,3,16
1567,0.014523008540634173,275,8,40
1306,0.014518567711204107,276,6,36
867,0.014436085376586177,277,4,71
759,0.01443070564760151,278,4,72
907,0.014356631015179451,279,4,73
909,0.01435622812371333,280,4,74
1745,0.014331667178805869,281,9,7
767,0.014287017911203966,282,4,75
478,0.014285908817857266,283,2,54
1962,0.014255434444572149,284,13,24
798,0.01420050998471825,285,4,76
1893,0.01419114265809817,286,11,4
1683,0.014170211133907342,287,9,8
2004,0.014156989348165904,288,16,8
571,0.014071558335916053,289,3,17
1952,0.014059041464281993,290,13,25
294,0.014034590804393628,291,2,55
1943,0.01403368042472189,292,13,26
1941,0.014033680424721882,293,13,27
423,0.013954985025006429,294,2,56
402,0.013939375382264503,295,2,57
815,0.01384754290307809,296,4,77
757,0.013818287179908247,297,4,78
1182,0.013806121281699495,298,6,37
760,0.01378428034251057,299,4,79
1562,0.013749863775831681,300,8,41
680,0.01369972044305351,301,3,18
1684,0.013689594737568955,302,9,9
598,0.013618033093010906,303,3,19
1217,0.01351583630333174,304,6,38
1690,0.013487120385821364,305,9,10
1956,0.013460277305715859,306,13,28
863,0.013421578536733467,307,4,80
845,0.013394083996392454,308,4,81
393,0.013376611826334081,309,2,58
