node,page_rank,overall_rank,comm,rank_comm
247,0.480309423347398,1,2,1
223,0.47963483146067415,2,2,2
586,0.4792982456140351,3,7,1
226,0.47662247034194,4,2,3
205,0.47135955831608006,5,2,4
239,0.4655760054533061,6,2,5
552,0.4652588555858311,7,7,2
533,0.4553333333333333,8,6,1
651,0.45502998001332445,9,10,1
41,0.4541223404255319,10,1,1
551,0.4541223404255319,11,7,3
565,0.45171957671957674,12,7,4
194,0.4514210178453404,13,2,6
120,0.4475753604193971,14,1,2
22,0.44611365120836055,15,1,3
537,0.445822454308094,16,6,2
542,0.4455316373124592,17,6,3
530,0.4452411994784876,18,6,4
185,0.4452411994784876,19,2,7
238,0.4449511400651466,20,2,8
213,0.4435064935064935,21,2,9
545,0.44207119741100326,22,6,5
53,0.4409296320206585,23,1,4
252,0.44007731958762886,24,2,10
538,0.43922829581993567,25,6,6
115,0.4389460154241645,26,1,5
193,0.4375400384368994,27,2,11
217,0.43558673469387754,28,2,12
581,0.43530911408540474,29,7,5
85,0.4344783715012723,30,1,6
544,0.43420216147488877,31,6,7
180,0.4333756345177665,32,2,13
92,0.43200506008855155,33,1,7
557,0.43200506008855155,34,7,6
566,0.43200506008855155,35,7,7
128,0.4306431273644388,36,1,8
450,0.4303717706364209,37,4,1
524,0.4303717706364209,38,6,8
144,0.4298300818124607,39,2,14
218,0.42928975487115023,40,2,15
15,0.42902010050251255,41,1,9
532,0.42875078468298805,42,6,9
211,0.42821316614420063,43,2,16
156,0.42794486215538846,44,2,17
230,0.4276768941765811,45,2,18
342,0.4271419637273296,46,3,1
519,0.4271419637273296,47,6,10
249,0.4271419637273296,48,2,19
516,0.426875,49,6,11
522,0.42660836976889444,50,6,12
124,0.42581047381546133,51,1,10
354,0.42581047381546133,52,3,2
418,0.4255451713395639,53,4,2
23,0.42501555693839455,54,1,11
236,0.42501555693839455,55,2,20
176,0.4247512437810945,56,2,21
228,0.4247512437810945,57,2,22
71,0.423697270471464,58,1,12
207,0.423697270471464,59,2,23
235,0.42343459392436456,60,2,24
658,0.42343459392436456,61,10,2
539,0.4231722428748451,62,6,13
195,0.42264851485148514,63,2,25
102,0.4210850801479655,64,1,13
181,0.4208256315465188,65,2,26
31,0.4208256315465188,66,1,14
201,0.4203076923076923,67,2,27
26,0.41979102642901045,68,1,15
38,0.4190184049079755,69,1,16
63,0.4190184049079755,70,1,17
197,0.4187614960147149,71,2,28
104,0.4185049019607843,72,1,18
256,0.41824862216778935,73,2,29
150,0.4179926560587515,74,2,30
548,0.41748166259168706,75,7,8
254,0.41748166259168706,76,2,31
18,0.41722663408674404,77,1,19
215,0.41722663408674404,78,2,32
646,0.41722663408674404,79,10,3
589,0.416971916971917,80,7,9
212,0.4167175106772422,81,2,33
157,0.4167175106772422,82,2,34
554,0.4167175106772422,83,7,10
199,0.4164634146341463,84,2,35
147,0.4159561510353228,85,2,36
248,0.4157029823493609,86,2,37
129,0.4157029823493609,87,1,20
196,0.4149453219927096,88,2,38
54,0.4149453219927096,89,1,21
229,0.41444174757281554,90,2,39
242,0.41419041843541543,91,2,40
103,0.41393939393939394,92,1,22
244,0.41393939393939394,93,2,41
506,0.4134382566585956,94,6,14
108,0.4134382566585956,95,1,23
535,0.4134382566585956,96,6,15
561,0.4131881427707199,97,7,11
142,0.4131881427707199,98,2,42
151,0.41293833131801694,99,2,43
116,0.41293833131801694,100,1,24
240,0.41293833131801694,101,2,44
612,0.41268882175226584,102,8,1
167,0.4114457831325301,103,2,45
4,0.4109506618531889,104,1,25
84,0.4107035478051714,105,1,26
255,0.4104567307692308,106,2,46
170,0.4099639855942377,107,2,47
52,0.4092270820850809,108,1,27
125,0.4089820359281437,109,1,28
231,0.4084928229665072,110,2,48
233,0.4084928229665072,111,2,49
216,0.4082486551105798,112,2,50
143,0.4082486551105798,113,2,51
166,0.4080047789725209,114,2,52
509,0.4075178997613365,115,6,16
375,0.40727489564698865,116,3,3
183,0.40727489564698865,117,2,53
572,0.40654761904761905,118,7,12
6,0.40630577037477694,119,1,29
178,0.40630577037477694,120,2,54
2,0.40630577037477694,121,1,30
600,0.406064209274673,122,8,2
46,0.406064209274673,123,1,31
93,0.40558194774346795,124,1,32
558,0.40558194774346795,125,7,13
0,0.40558194774346795,126,1,33
210,0.4053412462908012,127,2,55
83,0.4053412462908012,128,1,34
204,0.40510083036773425,129,2,56
626,0.40510083036773425,130,8,3
88,0.40510083036773425,131,1,35
251,0.4048606994665086,132,2,57
77,0.4046208530805687,133,1,36
98,0.4043812907045589,134,1,37
523,0.4043812907045589,135,6,17
179,0.4041420118343195,136,2,58
547,0.4041420118343195,137,6,18
575,0.4036643026004728,138,7,14
44,0.40342587123449497,139,1,38
571,0.40318772136953956,140,7,15
574,0.40247495580436066,141,7,16
679,0.40247495580436066,142,12,1
175,0.40247495580436066,143,2,59
527,0.40223792697290933,144,6,19
111,0.40223792697290933,145,1,39
202,0.40223792697290933,146,2,60
445,0.40176470588235297,147,4,3
190,0.40176470588235297,148,2,61
669,0.4012925969447709,149,11,1
160,0.4012925969447709,150,2,62
667,0.40105695830886673,151,11,2
430,0.40105695830886673,152,4,4
89,0.40105695830886673,153,1,40
424,0.40082159624413144,154,4,5
149,0.40082159624413144,155,2,63
434,0.4005865102639296,156,4,6
518,0.4003516998827667,157,6,20
514,0.4001171646162859,158,6,21
105,0.39988290398126464,159,1,41
177,0.39941520467836256,160,2,64
145,0.39918176504967856,161,2,65
203,0.39871570344424984,162,2,66
130,0.39871570344424984,163,2,67
528,0.3984830805134189,164,6,22
446,0.3984830805134189,165,4,7
127,0.398018648018648,166,1,42
35,0.398018648018648,167,1,43
504,0.39778683750728017,168,6,23
138,0.39778683750728017,169,2,68
14,0.3973240255962769,170,1,44
76,0.3973240255962769,171,1,45
200,0.39709302325581397,172,2,69
576,0.3968622893666473,173,7,17
64,0.39594202898550723,174,1,46
414,0.3954834973943254,175,4,8
587,0.3954834973943254,176,7,18
34,0.3954834973943254,177,1,47
618,0.395026026604974,178,8,4
243,0.395026026604974,179,2,70
681,0.3945696129404968,180,12,2
209,0.3934331797235023,181,2,71
24,0.39252873563218393,182,1,48
25,0.392303273980471,183,1,49
132,0.392303273980471,184,2,72
42,0.3920780711825488,185,1,50
70,0.3920780711825488,186,1,51
585,0.3918531267928858,187,7,19
174,0.3918531267928858,188,2,73
433,0.3916284403669725,189,4,9
253,0.39140401146131804,190,2,74
191,0.39140401146131804,191,2,75
610,0.3909559244419004,192,8,5
257,0.39073226544622425,193,2,76
119,0.3905088622069754,194,1,52
594,0.3905088622069754,195,8,6
173,0.3905088622069754,196,2,77
86,0.3902857142857143,197,1,53
356,0.39006282124500286,198,3,4
165,0.3898401826484018,199,2,78
16,0.3898401826484018,200,1,54
148,0.38939566704675027,201,2,79
182,0.38939566704675027,202,2,80
45,0.3891737891737892,203,1,55
573,0.3891737891737892,204,7,20
376,0.3891737891737892,205,3,5
593,0.3891737891737892,206,8,7
553,0.3891737891737892,207,7,21
613,0.38895216400911165,208,8,8
531,0.3887307911212294,209,6,24
659,0.3887307911212294,210,10,4
663,0.38850967007963594,211,11,3
161,0.38828880045480385,212,2,81
417,0.3880681818181818,213,4,10
184,0.38784781374219196,214,2,82
162,0.38784781374219196,215,2,83
526,0.387627695800227,216,6,25
406,0.387627695800227,217,4,11
294,0.387627695800227,218,3,6
159,0.38718820861678005,219,2,84
521,0.38674971687429216,220,6,26
324,0.38653084323712505,221,3,7
666,0.38653084323712505,222,11,4
657,0.38609383832673827,223,10,5
570,0.38609383832673827,224,7,22
546,0.38609383832673827,225,6,27
222,0.38587570621468925,226,2,85
245,0.38587570621468925,227,2,86
391,0.3856578204404291,228,4,12
674,0.38544018058690743,229,12,3
652,0.38522278623801465,230,10,6
512,0.3850056369785795,231,6,28
67,0.3850056369785795,232,1,56
78,0.3850056369785795,233,1,57
578,0.3847887323943662,234,7,23
12,0.38457207207207206,235,1,58
648,0.3841394825646794,236,10,7
288,0.38349241998877037,237,3,8
568,0.3832772166105499,238,7,24
508,0.3832772166105499,239,6,29
617,0.3822048125349748,240,8,9
358,0.3822048125349748,241,3,9
7,0.3822048125349748,242,1,59
385,0.3819910514541387,243,4,13
507,0.38177752934600334,244,6,30
225,0.3815642458100559,245,2,87
302,0.38113839285714285,246,3,10
123,0.3809258226436141,247,1,60
520,0.3809258226436141,248,6,31
285,0.38071348940914157,249,3,11
259,0.38071348940914157,250,2,88
517,0.38050139275766015,251,6,32
556,0.38028953229398665,252,7,25
133,0.38028953229398665,253,2,89
597,0.38028953229398665,254,8,10
549,0.38028953229398665,255,7,26
338,0.38028953229398665,256,3,12
158,0.37986651835372637,257,2,90
186,0.37986651835372637,258,2,91
513,0.37986651835372637,259,6,33
96,0.37986651835372637,260,1,61
510,0.37965536409116174,261,6,34
398,0.3794444444444444,262,4,14
673,0.3792337590227651,263,11,5
58,0.3792337590227651,264,1,62
284,0.3788130892956184,265,3,13
363,0.3786031042128603,266,3,14
19,0.3786031042128603,267,1,63
439,0.3786031042128603,268,4,15
100,0.37818383167220376,269,1,64
563,0.37818383167220376,270,7,27
3,0.37818383167220376,271,1,65
299,0.37818383167220376,272,3,15
51,0.37818383167220376,273,1,66
366,0.37797454344216935,274,3,16
601,0.37776548672566373,275,8,11
620,0.3775566611387507,276,8,12
300,0.37734806629834255,277,3,17
503,0.3771397018221977,278,6,35
598,0.3769315673289183,279,8,13
605,0.37672366243794814,280,8,14
595,0.37651598676957,281,8,15
59,0.37651598676957,282,1,67
668,0.3763085399449036,283,11,6
647,0.3763085399449036,284,10,8
405,0.375894331315355,285,4,16
525,0.375894331315355,286,6,36
17,0.3756875687568757,287,1,68
113,0.3752747252747253,288,1,69
438,0.37506864360241626,289,4,17
427,0.3746571585298958,290,4,18
198,0.3746571585298958,291,2,92
653,0.3744517543859649,292,10,9
680,0.3744517543859649,293,12,4
397,0.37363238512035013,294,4,19
656,0.37363238512035013,295,10,10
345,0.37363238512035013,296,3,18
416,0.373224043715847,297,4,20
435,0.3730202075368651,298,4,21
591,0.3730202075368651,299,8,16
146,0.3728165938864629,300,2,93
155,0.3724100327153762,301,2,94
436,0.3724100327153762,302,4,22
274,0.3720043572984749,303,3,19
678,0.3720043572984749,304,12,5
665,0.371801850843767,305,11,7
580,0.371801850843767,306,7,28
426,0.37139749864056554,307,4,23
649,0.37119565217391304,308,10,11
432,0.37119565217391304,309,4,24
293,0.37119565217391304,310,3,20
187,0.3709940249864204,311,2,95
422,0.3707926167209555,312,4,25
382,0.37059142702116116,313,4,26
36,0.3691891891891892,314,1,70
48,0.36859147328656233,315,1,71
334,0.36859147328656233,316,3,21
97,0.36839266450916935,317,1,72
390,0.3681940700808625,318,4,27
421,0.3681940700808625,319,4,28
583,0.3681940700808625,320,7,29
232,0.36779752288637585,321,2,96
79,0.36779752288637585,322,1,73
134,0.36759956942949407,323,2,97
81,0.36759956942949407,324,1,74
577,0.36759956942949407,325,7,30
355,0.3674018289402905,326,3,22
650,0.36641630901287553,327,10,12
536,0.36641630901287553,328,6,37
609,0.36602357984994643,329,8,17
423,0.36602357984994643,330,4,29
386,0.36602357984994643,331,4,30
47,0.36602357984994643,332,1,75
567,0.36563169164882225,333,7,31
11,0.36563169164882225,334,1,76
616,0.36563169164882225,335,8,18
415,0.36543606206527557,336,4,31
411,0.36524064171122994,337,4,32
361,0.36524064171122994,338,3,23
263,0.36524064171122994,339,3,24
675,0.36485042735042733,340,12,6
32,0.36485042735042733,341,1,77
37,0.36485042735042733,342,1,78
346,0.3646556326748532,343,3,25
214,0.3640724946695096,344,2,98
126,0.3640724946695096,345,1,79
325,0.3638785295684603,346,3,26
449,0.3638785295684603,347,4,33
241,0.36368477103301383,348,2,99
221,0.3634912187333688,349,2,100
420,0.3634912187333688,350,4,34
28,0.36310473152578415,351,1,80
72,0.36291179596174283,352,1,81
1,0.36195018547959723,353,1,82
114,0.3617584745762712,354,1,83
341,0.3617584745762712,355,3,27
163,0.36156696664902066,356,2,101
541,0.36137566137566135,357,6,38
246,0.36137566137566135,358,2,102
378,0.36118455843469066,359,3,28
389,0.36118455843469066,360,4,35
75,0.3609936575052854,361,1,84
60,0.3608029582673006,362,1,85
112,0.3608029582673006,363,1,86
437,0.36061246040126715,364,4,36
